"","Country.Region","Province.State","Confirmed","Recovered","Deaths","Date"
"1","Germany","",62095,9211,533,2020-03-29
"2","Germany","",66885,13500,645,2020-03-30
"3","Germany","",71808,16100,775,2020-03-31
"4","Germany","",77872,18700,920,2020-04-01
"5","Germany","",84794,22440,1107,2020-04-02
"6","Germany","",91159,24575,1275,2020-04-03
"7","Germany","",96092,26400,1444,2020-04-04
"8","Germany","",100123,28700,1584,2020-04-05
"9","Germany","",103374,28700,1810,2020-04-06
"10","Germany","",107663,36081,2016,2020-04-07
"11","Germany","",113296,46300,2349,2020-04-08
"12","Germany","",118181,52407,2607,2020-04-09
"13","Germany","",122171,53913,2767,2020-04-10
"14","Germany","",124908,57400,2736,2020-04-11
"15","Germany","",127854,60300,3022,2020-04-12
"16","Germany","",130072,64300,3194,2020-04-13
"17","Germany","",131359,68200,3294,2020-04-14
"18","Germany","",134753,72600,3804,2020-04-15
"19","Germany","",137698,77000,4052,2020-04-16
"20","Germany","",141397,83114,4352,2020-04-17
"21","Germany","",143342,85400,4459,2020-04-18
"22","Germany","",145184,88000,4586,2020-04-19
"23","Germany","",147065,91500,4862,2020-04-20
"24","Germany","",148291,95200,5033,2020-04-21
"25","Germany","",150648,99400,5279,2020-04-22
"26","Germany","",153129,103300,5575,2020-04-23
"27","Germany","",154999,109800,5760,2020-04-24
"28","Germany","",156513,109800,5877,2020-04-25
"29","Germany","",157770,112000,5976,2020-04-26
"30","Germany","",158758,114500,6126,2020-04-27
"31","Germany","",159912,117400,6314,2020-04-28
"32","Germany","",161539,120400,6467,2020-04-29
"33","Germany","",163009,123500,6623,2020-04-30
"34","Germany","Baden-Wurttemberg",36828,34260,1841,2020-07-24
"35","Germany","Bayern",50127,46600,2619,2020-07-24
"36","Germany","Berlin",8956,8418,223,2020-07-24
"37","Germany","Brandenburg",3544,3300,173,2020-07-24
"38","Germany","Bremen",1745,1635,55,2020-07-24
"39","Germany","Hamburg",5290,5000,261,2020-07-24
"40","Germany","Hessen",11591,10700,517,2020-07-24
"41","Germany","Mecklenburg-Vorpommern",843,786,20,2020-07-24
"42","Germany","Niedersachsen",14185,13200,648,2020-07-24
"43","Germany","Nordrhein-Westfalen",46956,43000,1726,2020-07-24
"44","Germany","Rheinland-Pfalz",7398,6853,238,2020-07-24
"45","Germany","Saarland",2841,2609,174,2020-07-24
"46","Germany","Sachsen",5510,5240,225,2020-07-24
"47","Germany","Sachsen-Anhalt",1981,1855,63,2020-07-24
"48","Germany","Schleswig-Holstein",3311,3100,155,2020-07-24
"49","Germany","Thuringen",3339,3140,182,2020-07-24
"50","Germany","Unknown",1178,0,0,2020-07-24
"51","Germany","Baden-Wurttemberg",36828,34260,1841,2020-07-25
"52","Germany","Bayern",50267,46600,2619,2020-07-25
"53","Germany","Berlin",8990,8429,223,2020-07-25
"54","Germany","Brandenburg",3543,3300,173,2020-07-25
"55","Germany","Bremen",1745,1635,55,2020-07-25
"56","Germany","Hamburg",5303,5000,261,2020-07-25
"57","Germany","Hessen",11649,10700,518,2020-07-25
"58","Germany","Mecklenburg-Vorpommern",843,786,20,2020-07-25
"59","Germany","Niedersachsen",14222,13200,649,2020-07-25
"60","Germany","Nordrhein-Westfalen",47257,43200,1728,2020-07-25
"61","Germany","Rheinland-Pfalz",7412,6865,238,2020-07-25
"62","Germany","Saarland",2849,2609,174,2020-07-25
"63","Germany","Sachsen",5512,5240,225,2020-07-25
"64","Germany","Sachsen-Anhalt",1981,1855,63,2020-07-25
"65","Germany","Schleswig-Holstein",3318,3100,155,2020-07-25
"66","Germany","Thuringen",3340,3140,182,2020-07-25
"67","Germany","Unknown",1219,0,0,2020-07-25
"68","Germany","Baden-Wurttemberg",36831,34260,1841,2020-07-26
"69","Germany","Bayern",50282,46700,2619,2020-07-26
"70","Germany","Berlin",9000,8450,223,2020-07-26
"71","Germany","Brandenburg",3544,3300,173,2020-07-26
"72","Germany","Bremen",1746,1635,55,2020-07-26
"73","Germany","Hamburg",5321,5000,261,2020-07-26
"74","Germany","Hessen",11680,10700,518,2020-07-26
"75","Germany","Mecklenburg-Vorpommern",843,786,20,2020-07-26
"76","Germany","Niedersachsen",14223,13200,649,2020-07-26
"77","Germany","Nordrhein-Westfalen",47430,43200,1728,2020-07-26
"78","Germany","Rheinland-Pfalz",7426,6876,238,2020-07-26
"79","Germany","Saarland",2850,2613,174,2020-07-26
"80","Germany","Sachsen",5512,5240,225,2020-07-26
"81","Germany","Sachsen-Anhalt",1986,1855,63,2020-07-26
"82","Germany","Schleswig-Holstein",3322,3100,155,2020-07-26
"83","Germany","Thuringen",3345,3140,182,2020-07-26
"84","Germany","Unknown",1326,0,0,2020-07-26
"85","Germany","Baden-Wurttemberg",36926,34260,1841,2020-07-27
"86","Germany","Bayern",50501,46800,2619,2020-07-27
"87","Germany","Berlin",9019,8482,223,2020-07-27
"88","Germany","Brandenburg",3545,3300,173,2020-07-27
"89","Germany","Bremen",1755,1638,55,2020-07-27
"90","Germany","Hamburg",5325,5000,261,2020-07-27
"91","Germany","Hessen",11685,10700,518,2020-07-27
"92","Germany","Mecklenburg-Vorpommern",845,786,20,2020-07-27
"93","Germany","Niedersachsen",14241,13200,649,2020-07-27
"94","Germany","Nordrhein-Westfalen",47471,43300,1728,2020-07-27
"95","Germany","Rheinland-Pfalz",7434,6886,238,2020-07-27
"96","Germany","Saarland",2851,2617,174,2020-07-27
"97","Germany","Sachsen",5514,5245,225,2020-07-27
"98","Germany","Sachsen-Anhalt",1993,1860,64,2020-07-27
"99","Germany","Schleswig-Holstein",3341,3100,155,2020-07-27
"100","Germany","Thuringen",3347,3140,182,2020-07-27
"101","Germany","Unknown",1319,0,0,2020-07-27
"102","Germany","Baden-Wurttemberg",37047,34291,1843,2020-07-28
"103","Germany","Bayern",50589,46800,2619,2020-07-28
"104","Germany","Berlin",9070,8514,223,2020-07-28
"105","Germany","Brandenburg",3550,3300,173,2020-07-28
"106","Germany","Bremen",1761,1638,55,2020-07-28
"107","Germany","Hamburg",5337,5000,261,2020-07-28
"108","Germany","Hessen",11743,10800,518,2020-07-28
"109","Germany","Mecklenburg-Vorpommern",849,786,20,2020-07-28
"110","Germany","Niedersachsen",14288,13200,649,2020-07-28
"111","Germany","Nordrhein-Westfalen",47740,43500,1730,2020-07-28
"112","Germany","Rheinland-Pfalz",7445,6909,239,2020-07-28
"113","Germany","Saarland",2852,2617,174,2020-07-28
"114","Germany","Sachsen",5522,5245,225,2020-07-28
"115","Germany","Sachsen-Anhalt",1999,1861,64,2020-07-28
"116","Germany","Schleswig-Holstein",3379,3100,156,2020-07-28
"117","Germany","Thuringen",3351,3150,182,2020-07-28
"118","Germany","Unknown",1185,0,0,2020-07-28
"119","Germany","Baden-Wurttemberg",37124,34400,1845,2020-07-29
"120","Germany","Bayern",50701,46900,2621,2020-07-29
"121","Germany","Berlin",9149,8542,223,2020-07-29
"122","Germany","Brandenburg",3559,3300,173,2020-07-29
"123","Germany","Bremen",1766,1645,55,2020-07-29
"124","Germany","Hamburg",5355,5000,261,2020-07-29
"125","Germany","Hessen",11806,10800,518,2020-07-29
"126","Germany","Mecklenburg-Vorpommern",861,786,20,2020-07-29
"127","Germany","Niedersachsen",14313,13300,649,2020-07-29
"128","Germany","Nordrhein-Westfalen",47965,43700,1730,2020-07-29
"129","Germany","Rheinland-Pfalz",7475,6924,239,2020-07-29
"130","Germany","Saarland",2857,2620,174,2020-07-29
"131","Germany","Sachsen",5529,5245,225,2020-07-29
"132","Germany","Sachsen-Anhalt",2011,1867,64,2020-07-29
"133","Germany","Schleswig-Holstein",3401,3100,156,2020-07-29
"134","Germany","Thuringen",3356,3150,182,2020-07-29
"135","Germany","Unknown",1318,0,0,2020-07-29
"136","Germany","Baden-Wurttemberg",37233,34401,1847,2020-07-30
"137","Germany","Bayern",50821,46930,2622,2020-07-30
"138","Germany","Berlin",9191,8572,223,2020-07-30
"139","Germany","Brandenburg",3571,3300,173,2020-07-30
"140","Germany","Bremen",1777,1647,56,2020-07-30
"141","Germany","Hamburg",5385,5000,261,2020-07-30
"142","Germany","Hessen",11895,10800,519,2020-07-30
"143","Germany","Mecklenburg-Vorpommern",864,787,20,2020-07-30
"144","Germany","Niedersachsen",14382,13300,651,2020-07-30
"145","Germany","Nordrhein-Westfalen",48301,43868,1732,2020-07-30
"146","Germany","Rheinland-Pfalz",7488,6944,239,2020-07-30
"147","Germany","Saarland",2862,2625,174,2020-07-30
"148","Germany","Sachsen",5533,5255,225,2020-07-30
"149","Germany","Sachsen-Anhalt",2017,1872,64,2020-07-30
"150","Germany","Schleswig-Holstein",3427,3100,156,2020-07-30
"151","Germany","Thuringen",3358,3150,182,2020-07-30
"152","Germany","Unknown",1430,0,0,2020-07-30
"153","Germany","Baden-Wurttemberg",37317,34448,1847,2020-07-31
