"","Country.Region","Province.State","Confirmed","Recovered","Deaths","Date"
"1","Italy","",97689,13030,10779,2020-03-29
"2","Italy","",101739,14620,11591,2020-03-30
"3","Italy","",105792,15729,12428,2020-03-31
"4","Italy","",110574,16847,13155,2020-04-01
"5","Italy","",115242,18278,13915,2020-04-02
"6","Italy","",119827,19758,14681,2020-04-03
"7","Italy","",124632,20996,15362,2020-04-04
"8","Italy","",128948,21815,15887,2020-04-05
"9","Italy","",132547,22837,16523,2020-04-06
"10","Italy","",135586,24392,17127,2020-04-07
"11","Italy","",139422,26491,17669,2020-04-08
"12","Italy","",143626,28470,18279,2020-04-09
"13","Italy","",147577,30455,18849,2020-04-10
"14","Italy","",152271,32534,19468,2020-04-11
"15","Italy","",156363,34211,19899,2020-04-12
"16","Italy","",159516,35435,20465,2020-04-13
"17","Italy","",162488,37130,21067,2020-04-14
"18","Italy","",165155,38092,21645,2020-04-15
"19","Italy","",168941,40164,22170,2020-04-16
"20","Italy","",172434,42727,22745,2020-04-17
"21","Italy","",175925,44927,23227,2020-04-18
"22","Italy","",178972,47055,23660,2020-04-19
"23","Italy","",181228,48877,24114,2020-04-20
"24","Italy","",183957,51600,24648,2020-04-21
"25","Italy","",187327,54543,25085,2020-04-22
"26","Italy","",189973,57576,25549,2020-04-23
"27","Italy","",192994,60498,25969,2020-04-24
"28","Italy","",195351,63120,26384,2020-04-25
"29","Italy","",197675,64928,26644,2020-04-26
"30","Italy","",199414,66624,26977,2020-04-27
"31","Italy","",201505,68941,27359,2020-04-28
"32","Italy","",203591,71252,27682,2020-04-29
"33","Italy","",205463,75945,27967,2020-04-30
"34","Italy","Abruzzo",3356,2773,470,2020-07-24
"35","Italy","Basilicata",447,373,28,2020-07-24
"36","Italy","Calabria",1246,1071,97,2020-07-24
"37","Italy","Campania",4880,4114,434,2020-07-24
"38","Italy","Emilia-Romagna",29413,23758,4283,2020-07-24
"39","Italy","Friuli Venezia Giulia",3368,2925,345,2020-07-24
"40","Italy","Lazio",8516,6743,857,2020-07-24
"41","Italy","Liguria",10144,8380,1566,2020-07-24
"42","Italy","Lombardia",95768,72208,16801,2020-07-24
"43","Italy","Marche",6816,5697,987,2020-07-24
"44","Italy","Molise",460,419,23,2020-07-24
"45","Italy","P.A. Bolzano",2687,2312,292,2020-07-24
"46","Italy","P.A. Trento",4957,4465,405,2020-07-24
"47","Italy","Piemonte",31578,26679,4123,2020-07-24
"48","Italy","Puglia",4578,3962,549,2020-07-24
"49","Italy","Sardegna",1385,1235,134,2020-07-24
"50","Italy","Sicilia",3166,2713,283,2020-07-24
"51","Italy","Toscana",10405,8939,1131,2020-07-24
"52","Italy","Umbria",1465,1366,80,2020-07-24
"53","Italy","Valle d'Aosta",1196,1049,146,2020-07-24
"54","Italy","Veneto",19759,17011,2063,2020-07-24
"55","Italy","Abruzzo",3359,2777,470,2020-07-25
"56","Italy","Basilicata",448,374,28,2020-07-25
"57","Italy","Calabria",1247,1071,97,2020-07-25
"58","Italy","Campania",4901,4126,434,2020-07-25
"59","Italy","Emilia-Romagna",29461,23778,4284,2020-07-25
"60","Italy","Friuli Venezia Giulia",3373,2925,345,2020-07-25
"61","Italy","Lazio",8535,6749,858,2020-07-25
"62","Italy","Liguria",10147,8381,1566,2020-07-25
"63","Italy","Lombardia",95847,72271,16801,2020-07-25
"64","Italy","Marche",6818,5702,987,2020-07-25
"65","Italy","Molise",463,419,23,2020-07-25
"66","Italy","P.A. Bolzano",2693,2314,292,2020-07-25
"67","Italy","P.A. Trento",4959,4466,405,2020-07-25
"68","Italy","Piemonte",31594,26677,4125,2020-07-25
"69","Italy","Puglia",4586,3961,549,2020-07-25
"70","Italy","Sardegna",1388,1235,134,2020-07-25
"71","Italy","Sicilia",3179,2715,283,2020-07-25
"72","Italy","Toscana",10415,8941,1131,2020-07-25
"73","Italy","Umbria",1465,1368,80,2020-07-25
"74","Italy","Valle d'Aosta",1196,1049,146,2020-07-25
"75","Italy","Veneto",19790,17021,2064,2020-07-25
"76","Italy","Abruzzo",3359,2777,470,2020-07-26
"77","Italy","Basilicata",448,374,28,2020-07-26
"78","Italy","Calabria",1247,1071,97,2020-07-26
"79","Italy","Campania",4912,4126,434,2020-07-26
"80","Italy","Emilia-Romagna",29522,23793,4285,2020-07-26
"81","Italy","Friuli Venezia Giulia",3375,2925,345,2020-07-26
"82","Italy","Lazio",8554,6759,860,2020-07-26
"83","Italy","Liguria",10150,8381,1566,2020-07-26
"84","Italy","Lombardia",95921,72349,16801,2020-07-26
"85","Italy","Marche",6825,5716,987,2020-07-26
"86","Italy","Molise",466,421,23,2020-07-26
"87","Italy","P.A. Bolzano",2698,2314,292,2020-07-26
"88","Italy","P.A. Trento",4965,4467,405,2020-07-26
"89","Italy","Piemonte",31606,26678,4126,2020-07-26
"90","Italy","Puglia",4589,3961,550,2020-07-26
"91","Italy","Sardegna",1388,1235,134,2020-07-26
"92","Italy","Sicilia",3193,2715,283,2020-07-26
"93","Italy","Toscana",10430,8944,1131,2020-07-26
"94","Italy","Umbria",1465,1368,80,2020-07-26
"95","Italy","Valle d'Aosta",1196,1049,146,2020-07-26
"96","Italy","Veneto",19809,17023,2064,2020-07-26
"97","Italy","Abruzzo",3368,2783,471,2020-07-27
"98","Italy","Basilicata",449,374,28,2020-07-27
"99","Italy","Calabria",1247,1072,97,2020-07-27
