"","Country.Region","Province.State","Confirmed","Recovered","Deaths","Date"
"1","United Kingdom","Anguilla",2,0,0,2020-03-29
"2","United Kingdom","Bermuda",22,2,0,2020-03-29
"3","United Kingdom","British Virgin Islands",2,0,0,2020-03-29
"4","United Kingdom","Cayman Islands",8,0,1,2020-03-29
"5","United Kingdom","Channel Islands",108,0,2,2020-03-29
"6","United Kingdom","Gibraltar",65,14,0,2020-03-29
"7","United Kingdom","Isle of Man",42,0,0,2020-03-29
"8","United Kingdom","Montserrat",5,0,0,2020-03-29
"9","United Kingdom","Turks and Caicos Islands",4,0,0,2020-03-29
"10","United Kingdom","",19522,135,1228,2020-03-29
"11","United Kingdom","Anguilla",2,0,0,2020-03-30
"12","United Kingdom","Bermuda",27,2,0,2020-03-30
"13","United Kingdom","British Virgin Islands",2,0,0,2020-03-30
"14","United Kingdom","Cayman Islands",12,0,1,2020-03-30
"15","United Kingdom","Channel Islands",141,0,2,2020-03-30
"16","United Kingdom","Gibraltar",69,34,0,2020-03-30
"17","United Kingdom","Isle of Man",49,0,0,2020-03-30
"18","United Kingdom","Montserrat",5,0,0,2020-03-30
"19","United Kingdom","Turks and Caicos Islands",5,0,0,2020-03-30
"20","United Kingdom","",22141,135,1408,2020-03-30
"21","United Kingdom","Anguilla",2,0,0,2020-03-31
"22","United Kingdom","Bermuda",32,10,0,2020-03-31
"23","United Kingdom","British Virgin Islands",3,0,0,2020-03-31
"24","United Kingdom","Cayman Islands",14,0,1,2020-03-31
"25","United Kingdom","Channel Islands",141,0,3,2020-03-31
"26","United Kingdom","Gibraltar",69,34,0,2020-03-31
"27","United Kingdom","Isle of Man",60,0,0,2020-03-31
"28","United Kingdom","Montserrat",5,0,0,2020-03-31
"29","United Kingdom","Turks and Caicos Islands",5,0,0,2020-03-31
"30","United Kingdom","",25150,135,1789,2020-03-31
"31","United Kingdom","Anguilla",2,0,0,2020-04-01
"32","United Kingdom","Bermuda",32,10,0,2020-04-01
"33","United Kingdom","British Virgin Islands",3,0,0,2020-04-01
"34","United Kingdom","Cayman Islands",22,0,1,2020-04-01
"35","United Kingdom","Channel Islands",172,0,3,2020-04-01
"36","United Kingdom","Gibraltar",81,34,0,2020-04-01
"37","United Kingdom","Isle of Man",68,0,1,2020-04-01
"38","United Kingdom","Montserrat",5,0,0,2020-04-01
"39","United Kingdom","Turks and Caicos Islands",6,0,0,2020-04-01
"40","United Kingdom","",29474,135,2352,2020-04-01
"41","United Kingdom","Anguilla",3,0,0,2020-04-02
"42","United Kingdom","Bermuda",35,11,0,2020-04-02
"43","United Kingdom","British Virgin Islands",3,0,0,2020-04-02
"44","United Kingdom","Cayman Islands",28,0,1,2020-04-02
"45","United Kingdom","Channel Islands",193,0,3,2020-04-02
"46","United Kingdom","Gibraltar",88,46,0,2020-04-02
"47","United Kingdom","Isle of Man",95,0,1,2020-04-02
"48","United Kingdom","Montserrat",5,0,0,2020-04-02
"49","United Kingdom","Turks and Caicos Islands",5,0,0,2020-04-02
"50","United Kingdom","",33718,135,2921,2020-04-02
"51","United Kingdom","Anguilla",3,0,0,2020-04-03
"52","United Kingdom","Bermuda",35,14,0,2020-04-03
"53","United Kingdom","British Virgin Islands",3,0,0,2020-04-03
"54","United Kingdom","Cayman Islands",28,0,1,2020-04-03
