"","Country.Region","Province.State","Confirmed","Recovered","Deaths","Date"
"1","United Kingdom","Anguilla",2,0,0,2020-03-29
"2","United Kingdom","Bermuda",22,2,0,2020-03-29
"3","United Kingdom","British Virgin Islands",2,0,0,2020-03-29
"4","United Kingdom","Cayman Islands",8,0,1,2020-03-29
"5","United Kingdom","Channel Islands",108,0,2,2020-03-29
"6","United Kingdom","Gibraltar",65,14,0,2020-03-29
"7","United Kingdom","Isle of Man",42,0,0,2020-03-29
"8","United Kingdom","Montserrat",5,0,0,2020-03-29
"9","United Kingdom","Turks and Caicos Islands",4,0,0,2020-03-29
"10","Germany","",62095,9211,533,2020-03-29
"11","Italy","",97689,13030,10779,2020-03-29
"12","Switzerland","",14829,1595,300,2020-03-29
"13","United Kingdom","",19522,135,1228,2020-03-29
"14","United Kingdom","Anguilla",2,0,0,2020-03-30
"15","United Kingdom","Bermuda",27,2,0,2020-03-30
"16","United Kingdom","British Virgin Islands",2,0,0,2020-03-30
"17","United Kingdom","Cayman Islands",12,0,1,2020-03-30
"18","United Kingdom","Channel Islands",141,0,2,2020-03-30
"19","United Kingdom","Gibraltar",69,34,0,2020-03-30
"20","United Kingdom","Isle of Man",49,0,0,2020-03-30
"21","United Kingdom","Montserrat",5,0,0,2020-03-30
"22","United Kingdom","Turks and Caicos Islands",5,0,0,2020-03-30
"23","Germany","",66885,13500,645,2020-03-30
"24","Italy","",101739,14620,11591,2020-03-30
"25","Switzerland","",15922,1823,359,2020-03-30
"26","United Kingdom","",22141,135,1408,2020-03-30
"27","United Kingdom","Anguilla",2,0,0,2020-03-31
"28","United Kingdom","Bermuda",32,10,0,2020-03-31
"29","United Kingdom","British Virgin Islands",3,0,0,2020-03-31
"30","United Kingdom","Cayman Islands",14,0,1,2020-03-31
"31","United Kingdom","Channel Islands",141,0,3,2020-03-31
"32","United Kingdom","Gibraltar",69,34,0,2020-03-31
"33","United Kingdom","Isle of Man",60,0,0,2020-03-31
"34","United Kingdom","Montserrat",5,0,0,2020-03-31
"35","United Kingdom","Turks and Caicos Islands",5,0,0,2020-03-31
"36","Germany","",71808,16100,775,2020-03-31
"37","Italy","",105792,15729,12428,2020-03-31
"38","Switzerland","",16605,1823,433,2020-03-31
"39","United Kingdom","",25150,135,1789,2020-03-31
"40","United Kingdom","Anguilla",2,0,0,2020-04-01
"41","United Kingdom","Bermuda",32,10,0,2020-04-01
"42","United Kingdom","British Virgin Islands",3,0,0,2020-04-01
"43","United Kingdom","Cayman Islands",22,0,1,2020-04-01
"44","United Kingdom","Channel Islands",172,0,3,2020-04-01
"45","United Kingdom","Gibraltar",81,34,0,2020-04-01
"46","United Kingdom","Isle of Man",68,0,1,2020-04-01
"47","United Kingdom","Montserrat",5,0,0,2020-04-01
"48","United Kingdom","Turks and Caicos Islands",6,0,0,2020-04-01
"49","Germany","",77872,18700,920,2020-04-01
"50","Italy","",110574,16847,13155,2020-04-01
"51","Switzerland","",17768,2967,488,2020-04-01
"52","United Kingdom","",29474,135,2352,2020-04-01
"53","United Kingdom","Anguilla",3,0,0,2020-04-02
"54","United Kingdom","Bermuda",35,11,0,2020-04-02
"55","United Kingdom","British Virgin Islands",3,0,0,2020-04-02
"56","United Kingdom","Cayman Islands",28,0,1,2020-04-02
