"","Country.Region","Province.State","Confirmed","Recovered","Deaths","Date"
"1","Germany","Bavaria",4,NA,NA,2020-01-28
"2","Germany","Bavaria",4,NA,NA,2020-01-29
"3","Germany","Bavaria",4,NA,NA,2020-01-30
"4","Germany","Bavaria",5,NA,NA,2020-01-31
"5","United Kingdom","",2,NA,NA,2020-01-31
"6","Germany","",8,0,0,2020-02-01
"7","United Kingdom","",2,0,0,2020-02-01
"8","Germany","",10,0,0,2020-02-02
"9","United Kingdom","",2,0,0,2020-02-02
"10","Germany","",12,0,0,2020-02-03
"11","United Kingdom","",2,0,0,2020-02-03
"12","Germany","",12,0,0,2020-02-04
"13","United Kingdom","",2,0,0,2020-02-04
"14","Germany","",12,0,0,2020-02-05
"15","United Kingdom","",2,0,0,2020-02-05
"16","Germany","",12,0,0,2020-02-06
"17","United Kingdom","",2,0,0,2020-02-06
"18","Germany","",13,0,0,2020-02-07
"19","United Kingdom","",3,0,0,2020-02-07
"20","Germany","",13,0,0,2020-02-08
"21","United Kingdom","",3,0,0,2020-02-08
"22","Germany","",14,0,0,2020-02-09
"23","United Kingdom","",3,0,0,2020-02-09
"24","Germany","",14,0,0,2020-02-10
"25","United Kingdom","",8,0,0,2020-02-10
"26","Germany","",16,0,0,2020-02-11
"27","United Kingdom","",8,0,0,2020-02-11
"28","Germany","",16,0,0,2020-02-12
"29","United Kingdom","",9,1,0,2020-02-12
"30","Germany","",16,1,0,2020-02-13
"31","United Kingdom","",9,1,0,2020-02-13
"32","Germany","",16,1,0,2020-02-14
"33","United Kingdom","",9,1,0,2020-02-14
"34","Germany","",16,1,0,2020-02-15
"35","United Kingdom","",9,1,0,2020-02-15
"36","Germany","",16,1,0,2020-02-16
"37","United Kingdom","",9,8,0,2020-02-16
"38","Germany","",16,1,0,2020-02-17
"39","United Kingdom","",9,8,0,2020-02-17
"40","Germany","",16,12,0,2020-02-18
"41","United Kingdom","",9,8,0,2020-02-18
"42","Germany","",16,12,0,2020-02-19
"43","United Kingdom","",9,8,0,2020-02-19
"44","Germany","",16,12,0,2020-02-20
"45","United Kingdom","",9,8,0,2020-02-20
"46","Germany","",16,14,0,2020-02-21
"47","United Kingdom","",9,8,0,2020-02-21
"48","Germany","",16,14,0,2020-02-22
"49","United Kingdom","",9,8,0,2020-02-22
"50","Germany","",16,14,0,2020-02-23
"51","United Kingdom","",9,8,0,2020-02-23
"52","Germany","",16,14,0,2020-02-24
"53","United Kingdom","",13,8,0,2020-02-24
"54","Germany","",17,14,0,2020-02-25
"55","United Kingdom","",13,8,0,2020-02-25
"56","Germany","",27,15,0,2020-02-26
"57","United Kingdom","",13,8,0,2020-02-26
"58","Germany","",46,16,0,2020-02-27
"59","United Kingdom","",15,8,0,2020-02-27
"60","Germany","",48,16,0,2020-02-28
"61","United Kingdom","",20,8,0,2020-02-28
"62","Germany","",79,16,0,2020-02-29
"63","United Kingdom","",23,8,0,2020-02-29
"64","Germany","",130,16,0,2020-03-01
"65","United Kingdom","",36,8,0,2020-03-01
"66","Germany","",159,16,0,2020-03-02
"67","United Kingdom","",40,8,0,2020-03-02
"68","Germany","",196,16,0,2020-03-03
"69","United Kingdom","",51,8,0,2020-03-03
"70","Germany","",262,16,0,2020-03-04
"71","United Kingdom","",85,8,0,2020-03-04
"72","Germany","",482,16,0,2020-03-05
"73","United Kingdom","",115,8,1,2020-03-05
"74","Germany","",670,17,0,2020-03-06
"75","United Kingdom","",163,8,2,2020-03-06
"76","Germany","",799,18,0,2020-03-07
"77","United Kingdom","",206,18,2,2020-03-07
"78","Germany","",1040,18,0,2020-03-08
"79","United Kingdom","",273,18,3,2020-03-08
"80","Germany","",1176,18,2,2020-03-09
"81","United Kingdom","",321,18,4,2020-03-09
"82","Germany","",1457,18,2,2020-03-10
"83","United Kingdom","",382,18,6,2020-03-10
"84","Germany","",1908,25,3,2020-03-11
"85","United Kingdom","UK",456,18,8,2020-03-11
"86","United Kingdom","Channel Islands",2,0,0,2020-03-11
"87","United Kingdom","Gibraltar",1,1,0,2020-03-11
"88","Germany","",2369,25,5,2020-03-12
"89","United Kingdom","UK",456,18,8,2020-03-12
"90","United Kingdom","Channel Islands",2,0,0,2020-03-12
"91","United Kingdom","Gibraltar",1,1,0,2020-03-12
"92","United Kingdom","Channel Islands",2,0,0,2020-03-13
"93","Germany","",3675,46,7,2020-03-13
"94","United Kingdom","United Kingdom",798,18,8,2020-03-13
"95","United Kingdom","Gibraltar",1,1,0,2020-03-13
"96","Germany","",4585,46,9,2020-03-14
"97","United Kingdom","United Kingdom",1140,18,21,2020-03-14
"98","United Kingdom","Channel Islands",2,0,0,2020-03-14
"99","United Kingdom","Gibraltar",1,1,0,2020-03-14
"100","Germany","",5795,46,11,2020-03-15
"101","United Kingdom","United Kingdom",1140,18,21,2020-03-15
"102","United Kingdom","Channel Islands",3,0,0,2020-03-15
"103","United Kingdom","Gibraltar",1,1,0,2020-03-15
"104","Germany","",7272,67,17,2020-03-16
"105","United Kingdom","United Kingdom",1543,20,55,2020-03-16
"106","United Kingdom","Channel Islands",6,0,0,2020-03-16
"107","United Kingdom","Cayman Islands",1,0,1,2020-03-16
"108","United Kingdom","Gibraltar",1,1,0,2020-03-16
"109","Germany","",9257,67,24,2020-03-17
"110","United Kingdom","United Kingdom",1950,52,55,2020-03-17
"111","United Kingdom","Channel Islands",6,0,0,2020-03-17
"112","United Kingdom","Gibraltar",3,1,0,2020-03-17
"113","United Kingdom","Cayman Islands",1,0,1,2020-03-17
"114","Germany","",12327,105,28,2020-03-18
"115","United Kingdom","United Kingdom",2626,65,71,2020-03-18
"116","United Kingdom","Gibraltar",8,2,0,2020-03-18
"117","United Kingdom","Channel Islands",6,0,0,2020-03-18
"118","United Kingdom","Cayman Islands",1,0,1,2020-03-18
"119","United Kingdom","Montserrat",1,0,0,2020-03-18
"120","Germany","",15320,113,44,2020-03-19
"121","United Kingdom","United Kingdom",2689,65,137,2020-03-19
"122","United Kingdom","Channel Islands",11,0,0,2020-03-19
"123","United Kingdom","Gibraltar",10,2,0,2020-03-19
"124","United Kingdom","Cayman Islands",3,0,1,2020-03-19
"125","United Kingdom","Bermuda",2,0,0,2020-03-19
"126","United Kingdom","Montserrat",1,0,0,2020-03-19
"127","Germany","",19848,180,67,2020-03-20
"128","United Kingdom","United Kingdom",3983,65,177,2020-03-20
"129","United Kingdom","Channel Islands",14,0,0,2020-03-20
"130","United Kingdom","Gibraltar",10,2,0,2020-03-20
"131","United Kingdom","Cayman Islands",3,0,1,2020-03-20
"132","United Kingdom","Bermuda",2,0,0,2020-03-20
"133","United Kingdom","Isle of Man",1,0,0,2020-03-20
"134","United Kingdom","Montserrat",1,0,0,2020-03-20
"135","Germany","",22213,233,84,2020-03-21
"136","United Kingdom","United Kingdom",5018,65,233,2020-03-21
"137","United Kingdom","Channel Islands",32,0,0,2020-03-21
"138","United Kingdom","Gibraltar",10,2,0,2020-03-21
"139","United Kingdom","Cayman Islands",3,0,1,2020-03-21
"140","United Kingdom","Bermuda",2,0,0,2020-03-21
"141","United Kingdom","Isle of Man",1,0,0,2020-03-21
"142","United Kingdom","Montserrat",1,0,0,2020-03-21
"143","Germany","",24873,266,94,2020-03-22
"144","United Kingdom","",5683,93,281,2020-03-22
"145","United Kingdom","Channel Islands",32,0,0,2020-03-22
"146","United Kingdom","Gibraltar",15,2,0,2020-03-22
"147","United Kingdom","Isle of Man",5,0,0,2020-03-22
"148","United Kingdom","Cayman Islands",3,0,1,2020-03-22
"149","United Kingdom","Bermuda",2,0,0,2020-03-22
"150","United Kingdom","Montserrat",1,0,0,2020-03-22
"151","United Kingdom","Bermuda",6,0,0,2020-03-23
"152","United Kingdom","Cayman Islands",5,0,1,2020-03-23
"153","United Kingdom","Channel Islands",36,0,0,2020-03-23
"154","United Kingdom","Gibraltar",15,5,0,2020-03-23
"155","United Kingdom","Isle of Man",13,0,0,2020-03-23
"156","United Kingdom","Montserrat",1,0,0,2020-03-23
"157","Germany","",29056,453,123,2020-03-23
"158","United Kingdom","",6650,135,335,2020-03-23
"159","United Kingdom","Bermuda",6,0,0,2020-03-24
"160","United Kingdom","Cayman Islands",6,0,1,2020-03-24
"161","United Kingdom","Channel Islands",36,0,0,2020-03-24
"162","United Kingdom","Gibraltar",15,5,0,2020-03-24
"163","United Kingdom","Isle of Man",23,0,0,2020-03-24
"164","United Kingdom","Montserrat",1,0,0,2020-03-24
"165","Germany","",32986,3243,157,2020-03-24
"166","United Kingdom","",8077,135,422,2020-03-24
"167","United Kingdom","Bermuda",7,0,0,2020-03-25
"168","United Kingdom","Cayman Islands",8,0,1,2020-03-25
"169","United Kingdom","Channel Islands",46,0,0,2020-03-25
"170","United Kingdom","Gibraltar",26,5,0,2020-03-25
"171","United Kingdom","Isle of Man",23,0,0,2020-03-25
"172","United Kingdom","Montserrat",1,0,0,2020-03-25
"173","Germany","",37323,3547,206,2020-03-25
"174","United Kingdom","",9529,135,465,2020-03-25
"175","United Kingdom","Bermuda",15,2,0,2020-03-26
"176","United Kingdom","Cayman Islands",8,0,1,2020-03-26
"177","United Kingdom","Channel Islands",66,0,1,2020-03-26
"178","United Kingdom","Gibraltar",35,13,0,2020-03-26
"179","United Kingdom","Isle of Man",25,0,0,2020-03-26
"180","United Kingdom","Montserrat",5,0,0,2020-03-26
"181","Germany","",43938,5673,267,2020-03-26
"182","United Kingdom","",11658,135,578,2020-03-26
"183","United Kingdom","Bermuda",17,2,0,2020-03-27
"184","United Kingdom","Cayman Islands",8,0,1,2020-03-27
"185","United Kingdom","Channel Islands",88,0,1,2020-03-27
"186","United Kingdom","Gibraltar",55,14,0,2020-03-27
"187","United Kingdom","Isle of Man",29,0,0,2020-03-27
"188","United Kingdom","Montserrat",5,0,0,2020-03-27
"189","Germany","",50871,6658,342,2020-03-27
"190","United Kingdom","",14543,135,759,2020-03-27
"191","United Kingdom","Anguilla",2,0,0,2020-03-28
"192","United Kingdom","Bermuda",17,2,0,2020-03-28
"193","United Kingdom","British Virgin Islands",2,0,0,2020-03-28
"194","United Kingdom","Cayman Islands",8,0,1,2020-03-28
"195","United Kingdom","Channel Islands",97,0,1,2020-03-28
"196","United Kingdom","Gibraltar",56,14,0,2020-03-28
"197","United Kingdom","Isle of Man",32,0,0,2020-03-28
"198","United Kingdom","Montserrat",5,0,0,2020-03-28
"199","United Kingdom","Turks and Caicos Islands",4,0,0,2020-03-28
"200","Germany","",57695,8481,433,2020-03-28
"201","United Kingdom","",17089,135,1019,2020-03-28
"202","United Kingdom","Anguilla",2,0,0,2020-03-29
"203","United Kingdom","Bermuda",22,2,0,2020-03-29
"204","United Kingdom","British Virgin Islands",2,0,0,2020-03-29
"205","United Kingdom","Cayman Islands",8,0,1,2020-03-29
"206","United Kingdom","Channel Islands",108,0,2,2020-03-29
"207","United Kingdom","Gibraltar",65,14,0,2020-03-29
"208","United Kingdom","Isle of Man",42,0,0,2020-03-29
"209","United Kingdom","Montserrat",5,0,0,2020-03-29
"210","United Kingdom","Turks and Caicos Islands",4,0,0,2020-03-29
"211","Germany","",62095,9211,533,2020-03-29
"212","United Kingdom","",19522,135,1228,2020-03-29
"213","United Kingdom","Anguilla",2,0,0,2020-03-30
"214","United Kingdom","Bermuda",27,2,0,2020-03-30
"215","United Kingdom","British Virgin Islands",2,0,0,2020-03-30
"216","United Kingdom","Cayman Islands",12,0,1,2020-03-30
"217","United Kingdom","Channel Islands",141,0,2,2020-03-30
"218","United Kingdom","Gibraltar",69,34,0,2020-03-30
"219","United Kingdom","Isle of Man",49,0,0,2020-03-30
"220","United Kingdom","Montserrat",5,0,0,2020-03-30
"221","United Kingdom","Turks and Caicos Islands",5,0,0,2020-03-30
"222","Germany","",66885,13500,645,2020-03-30
"223","United Kingdom","",22141,135,1408,2020-03-30
"224","United Kingdom","Anguilla",2,0,0,2020-03-31
"225","United Kingdom","Bermuda",32,10,0,2020-03-31
"226","United Kingdom","British Virgin Islands",3,0,0,2020-03-31
"227","United Kingdom","Cayman Islands",14,0,1,2020-03-31
"228","United Kingdom","Channel Islands",141,0,3,2020-03-31
"229","United Kingdom","Gibraltar",69,34,0,2020-03-31
"230","United Kingdom","Isle of Man",60,0,0,2020-03-31
"231","United Kingdom","Montserrat",5,0,0,2020-03-31
"232","United Kingdom","Turks and Caicos Islands",5,0,0,2020-03-31
"233","Germany","",71808,16100,775,2020-03-31
"234","United Kingdom","",25150,135,1789,2020-03-31
"235","United Kingdom","Anguilla",2,0,0,2020-04-01
"236","United Kingdom","Bermuda",32,10,0,2020-04-01
"237","United Kingdom","British Virgin Islands",3,0,0,2020-04-01
"238","United Kingdom","Cayman Islands",22,0,1,2020-04-01
"239","United Kingdom","Channel Islands",172,0,3,2020-04-01
"240","United Kingdom","Gibraltar",81,34,0,2020-04-01
"241","United Kingdom","Isle of Man",68,0,1,2020-04-01
"242","United Kingdom","Montserrat",5,0,0,2020-04-01
"243","United Kingdom","Turks and Caicos Islands",6,0,0,2020-04-01
"244","Germany","",77872,18700,920,2020-04-01
"245","United Kingdom","",29474,135,2352,2020-04-01
"246","United Kingdom","Anguilla",3,0,0,2020-04-02
"247","United Kingdom","Bermuda",35,11,0,2020-04-02
"248","United Kingdom","British Virgin Islands",3,0,0,2020-04-02
"249","United Kingdom","Cayman Islands",28,0,1,2020-04-02
"250","United Kingdom","Channel Islands",193,0,3,2020-04-02
"251","United Kingdom","Gibraltar",88,46,0,2020-04-02
"252","United Kingdom","Isle of Man",95,0,1,2020-04-02
"253","United Kingdom","Montserrat",5,0,0,2020-04-02
"254","United Kingdom","Turks and Caicos Islands",5,0,0,2020-04-02
"255","Germany","",84794,22440,1107,2020-04-02
"256","United Kingdom","",33718,135,2921,2020-04-02
"257","United Kingdom","Anguilla",3,0,0,2020-04-03
"258","United Kingdom","Bermuda",35,14,0,2020-04-03
"259","United Kingdom","British Virgin Islands",3,0,0,2020-04-03
"260","United Kingdom","Cayman Islands",28,0,1,2020-04-03
"261","United Kingdom","Channel Islands",232,13,4,2020-04-03
"262","United Kingdom","Gibraltar",95,46,0,2020-04-03
"263","United Kingdom","Isle of Man",114,0,1,2020-04-03
"264","United Kingdom","Montserrat",6,0,0,2020-04-03
"265","United Kingdom","Turks and Caicos Islands",5,0,0,2020-04-03
"266","Germany","",91159,24575,1275,2020-04-03
"267","United Kingdom","",38168,135,3605,2020-04-03
"268","United Kingdom","Anguilla",3,0,0,2020-04-04
"269","United Kingdom","Bermuda",35,14,0,2020-04-04
"270","United Kingdom","British Virgin Islands",3,0,0,2020-04-04
"271","United Kingdom","Cayman Islands",35,1,1,2020-04-04
"272","United Kingdom","Channel Islands",262,13,5,2020-04-04
"273","United Kingdom","Falkland Islands (Islas Malvinas)",1,0,0,2020-04-04
"274","United Kingdom","Gibraltar",98,52,0,2020-04-04
"275","United Kingdom","Isle of Man",126,0,1,2020-04-04
"276","United Kingdom","Montserrat",6,0,0,2020-04-04
"277","United Kingdom","Turks and Caicos Islands",5,0,0,2020-04-04
"278","Germany","",96092,26400,1444,2020-04-04
"279","United Kingdom","",41903,135,4313,2020-04-04
"280","United Kingdom","Anguilla",3,0,0,2020-04-05
"281","United Kingdom","Bermuda",37,14,0,2020-04-05
"282","United Kingdom","British Virgin Islands",3,0,0,2020-04-05
"283","United Kingdom","Cayman Islands",35,1,1,2020-04-05
"284","United Kingdom","Channel Islands",309,27,6,2020-04-05
"285","United Kingdom","Falkland Islands (Islas Malvinas)",2,0,0,2020-04-05
"286","United Kingdom","Gibraltar",103,52,0,2020-04-05
"287","United Kingdom","Isle of Man",127,0,1,2020-04-05
"288","United Kingdom","Montserrat",6,0,0,2020-04-05
"289","United Kingdom","Turks and Caicos Islands",5,0,1,2020-04-05
"290","Germany","",100123,28700,1584,2020-04-05
"291","United Kingdom","",47806,135,4934,2020-04-05
"292","United Kingdom","Anguilla",3,0,0,2020-04-06
"293","United Kingdom","Bermuda",39,17,2,2020-04-06
"294","United Kingdom","British Virgin Islands",3,0,0,2020-04-06
"295","United Kingdom","Cayman Islands",39,1,1,2020-04-06
"296","United Kingdom","Channel Islands",323,27,7,2020-04-06
"297","United Kingdom","Falkland Islands (Islas Malvinas)",2,0,0,2020-04-06
"298","United Kingdom","Gibraltar",109,52,0,2020-04-06
"299","United Kingdom","Isle of Man",139,55,1,2020-04-06
"300","United Kingdom","Montserrat",6,0,0,2020-04-06
"301","United Kingdom","Turks and Caicos Islands",8,0,1,2020-04-06
"302","Germany","",103374,28700,1810,2020-04-06
"303","United Kingdom","",51608,135,5373,2020-04-06
"304","United Kingdom","Anguilla",3,0,0,2020-04-07
"305","United Kingdom","Bermuda",39,17,2,2020-04-07
"306","United Kingdom","British Virgin Islands",3,0,0,2020-04-07
"307","United Kingdom","Cayman Islands",45,6,1,2020-04-07
"308","United Kingdom","Channel Islands",335,34,7,2020-04-07
"309","United Kingdom","Falkland Islands (Malvinas)",2,0,0,2020-04-07
"310","United Kingdom","Gibraltar",113,60,0,2020-04-07
"311","United Kingdom","Isle of Man",150,73,1,2020-04-07
"312","United Kingdom","Montserrat",9,0,0,2020-04-07
"313","United Kingdom","Turks and Caicos Islands",8,0,1,2020-04-07
"314","Germany","",107663,36081,2016,2020-04-07
"315","United Kingdom","",55242,135,6159,2020-04-07
"316","United Kingdom","Anguilla",3,0,0,2020-04-08
"317","United Kingdom","Bermuda",39,23,3,2020-04-08
"318","United Kingdom","British Virgin Islands",3,0,0,2020-04-08
"319","United Kingdom","Cayman Islands",45,6,1,2020-04-08
"320","United Kingdom","Channel Islands",351,38,8,2020-04-08
"321","United Kingdom","Falkland Islands (Malvinas)",5,1,0,2020-04-08
"322","United Kingdom","Gibraltar",120,60,0,2020-04-08
"323","United Kingdom","Isle of Man",158,82,1,2020-04-08
"324","United Kingdom","Montserrat",9,0,0,2020-04-08
"325","United Kingdom","Turks and Caicos Islands",8,0,1,2020-04-08
"326","Germany","",113296,46300,2349,2020-04-08
"327","United Kingdom","",60733,135,7097,2020-04-08
"328","United Kingdom","Anguilla",3,0,0,2020-04-09
"329","United Kingdom","Bermuda",48,25,4,2020-04-09
"330","United Kingdom","British Virgin Islands",3,0,0,2020-04-09
"331","United Kingdom","Cayman Islands",45,6,1,2020-04-09
"332","United Kingdom","Channel Islands",361,40,8,2020-04-09
"333","United Kingdom","Falkland Islands (Malvinas)",5,1,0,2020-04-09
"334","United Kingdom","Gibraltar",123,60,0,2020-04-09
"335","United Kingdom","Isle of Man",190,92,1,2020-04-09
"336","United Kingdom","Montserrat",9,0,0,2020-04-09
"337","United Kingdom","Turks and Caicos Islands",8,0,1,2020-04-09
"338","Germany","",118181,52407,2607,2020-04-09
"339","United Kingdom","",65077,135,7978,2020-04-09
"340","United Kingdom","Anguilla",3,0,0,2020-04-10
"341","United Kingdom","Bermuda",48,25,4,2020-04-10
"342","United Kingdom","British Virgin Islands",3,0,0,2020-04-10
"343","United Kingdom","Cayman Islands",45,6,1,2020-04-10
"344","United Kingdom","Channel Islands",398,40,9,2020-04-10
"345","United Kingdom","Falkland Islands (Malvinas)",5,1,0,2020-04-10
"346","United Kingdom","Gibraltar",127,69,0,2020-04-10
"347","United Kingdom","Isle of Man",201,103,1,2020-04-10
"348","United Kingdom","Montserrat",9,0,0,2020-04-10
"349","United Kingdom","Turks and Caicos Islands",8,0,1,2020-04-10
"350","Germany","",122171,53913,2767,2020-04-10
"351","United Kingdom","",73758,344,8958,2020-04-10
"352","United Kingdom","Anguilla",3,0,0,2020-04-11
"353","United Kingdom","Bermuda",48,25,4,2020-04-11
"354","United Kingdom","British Virgin Islands",3,2,0,2020-04-11
"355","United Kingdom","Cayman Islands",45,6,1,2020-04-11
"356","United Kingdom","Channel Islands",407,48,9,2020-04-11
"357","United Kingdom","Falkland Islands (Malvinas)",5,1,0,2020-04-11
"358","United Kingdom","Gibraltar",129,84,0,2020-04-11
"359","United Kingdom","Isle of Man",226,112,2,2020-04-11
"360","United Kingdom","Montserrat",9,0,0,2020-04-11
"361","United Kingdom","Turks and Caicos Islands",8,0,1,2020-04-11
"362","Germany","",124908,57400,2736,2020-04-11
"363","United Kingdom","",78991,344,9875,2020-04-11
"364","United Kingdom","Anguilla",3,0,0,2020-04-12
"365","United Kingdom","Bermuda",57,29,4,2020-04-12
"366","United Kingdom","British Virgin Islands",3,2,0,2020-04-12
"367","United Kingdom","Cayman Islands",53,6,1,2020-04-12
"368","United Kingdom","Channel Islands",431,48,9,2020-04-12
"369","United Kingdom","Falkland Islands (Malvinas)",5,1,0,2020-04-12
"370","United Kingdom","Gibraltar",129,84,0,2020-04-12
"371","United Kingdom","Isle of Man",228,112,2,2020-04-12
"372","United Kingdom","Montserrat",9,0,0,2020-04-12
"373","United Kingdom","Turks and Caicos Islands",9,0,1,2020-04-12
"374","Germany","",127854,60300,3022,2020-04-12
"375","United Kingdom","",84279,344,10612,2020-04-12
"376","United Kingdom","Anguilla",3,1,0,2020-04-13
"377","United Kingdom","Bermuda",57,30,5,2020-04-13
"378","United Kingdom","British Virgin Islands",3,2,0,2020-04-13
"379","United Kingdom","Cayman Islands",53,6,1,2020-04-13
"380","United Kingdom","Channel Islands",436,48,9,2020-04-13
"381","United Kingdom","Falkland Islands (Malvinas)",5,1,0,2020-04-13
"382","United Kingdom","Gibraltar",129,84,0,2020-04-13
"383","United Kingdom","Isle of Man",242,131,2,2020-04-13
"384","United Kingdom","Montserrat",11,1,0,2020-04-13
"385","United Kingdom","Turks and Caicos Islands",10,0,1,2020-04-13
"386","Germany","",130072,64300,3194,2020-04-13
"387","United Kingdom","",88621,0,11329,2020-04-13
"388","United Kingdom","Anguilla",3,1,0,2020-04-14
"389","United Kingdom","Bermuda",57,30,5,2020-04-14
"390","United Kingdom","British Virgin Islands",3,2,0,2020-04-14
"391","United Kingdom","Cayman Islands",54,6,1,2020-04-14
"392","United Kingdom","Channel Islands",440,48,13,2020-04-14
"393","United Kingdom","Falkland Islands (Malvinas)",11,1,0,2020-04-14
"394","United Kingdom","Gibraltar",129,93,0,2020-04-14
"395","United Kingdom","Isle of Man",254,141,2,2020-04-14
"396","United Kingdom","Montserrat",11,1,0,2020-04-14
"397","United Kingdom","Turks and Caicos Islands",10,0,1,2020-04-14
"398","Germany","",131359,68200,3294,2020-04-14
"399","United Kingdom","",93873,0,12107,2020-04-14
"400","United Kingdom","Anguilla",3,1,0,2020-04-15
"401","United Kingdom","Bermuda",81,33,5,2020-04-15
"402","United Kingdom","British Virgin Islands",3,2,0,2020-04-15
"403","United Kingdom","Cayman Islands",54,6,1,2020-04-15
"404","United Kingdom","Channel Islands",447,69,15,2020-04-15
"405","United Kingdom","Falkland Islands (Malvinas)",11,1,0,2020-04-15
"406","United Kingdom","Gibraltar",131,104,0,2020-04-15
"407","United Kingdom","Isle of Man",256,151,4,2020-04-15
"408","United Kingdom","Montserrat",11,1,0,2020-04-15
"409","United Kingdom","Turks and Caicos Islands",10,0,1,2020-04-15
"410","Germany","",134753,72600,3804,2020-04-15
"411","United Kingdom","",98476,0,12868,2020-04-15
"412","United Kingdom","Anguilla",3,1,0,2020-04-16
"413","United Kingdom","Bermuda",81,33,5,2020-04-16
"414","United Kingdom","British Virgin Islands",3,2,0,2020-04-16
"415","United Kingdom","Cayman Islands",60,6,1,2020-04-16
"416","United Kingdom","Channel Islands",457,73,19,2020-04-16
"417","United Kingdom","Falkland Islands (Malvinas)",11,1,0,2020-04-16
"418","United Kingdom","Gibraltar",131,104,0,2020-04-16
"419","United Kingdom","Isle of Man",284,154,4,2020-04-16
"420","United Kingdom","Montserrat",11,1,0,2020-04-16
"421","United Kingdom","Turks and Caicos Islands",11,0,1,2020-04-16
"422","Germany","",137698,77000,4052,2020-04-16
"423","United Kingdom","",103093,0,13729,2020-04-16
"424","United Kingdom","Anguilla",3,1,0,2020-04-17
"425","United Kingdom","Bermuda",83,35,5,2020-04-17
"426","United Kingdom","British Virgin Islands",4,2,0,2020-04-17
"427","United Kingdom","Cayman Islands",61,7,1,2020-04-17
"428","United Kingdom","Channel Islands",470,73,20,2020-04-17
"429","United Kingdom","Falkland Islands (Malvinas)",11,1,0,2020-04-17
"430","United Kingdom","Gibraltar",132,105,0,2020-04-17
"431","United Kingdom","Isle of Man",291,169,4,2020-04-17
"432","United Kingdom","Montserrat",11,1,0,2020-04-17
"433","United Kingdom","Turks and Caicos Islands",11,0,1,2020-04-17
"434","Germany","",141397,83114,4352,2020-04-17
"435","United Kingdom","",108692,0,14576,2020-04-17
"436","United Kingdom","Anguilla",3,1,0,2020-04-18
"437","United Kingdom","Bermuda",83,35,5,2020-04-18
"438","United Kingdom","British Virgin Islands",4,2,0,2020-04-18
"439","United Kingdom","Cayman Islands",61,7,1,2020-04-18
"440","United Kingdom","Channel Islands",484,73,21,2020-04-18
"441","United Kingdom","Falkland Islands (Malvinas)",11,3,0,2020-04-18
"442","United Kingdom","Gibraltar",132,111,0,2020-04-18
"443","United Kingdom","Isle of Man",297,180,6,2020-04-18
"444","United Kingdom","Montserrat",11,2,0,2020-04-18
"445","United Kingdom","Turks and Caicos Islands",11,0,1,2020-04-18
"446","Germany","",143342,85400,4459,2020-04-18
"447","United Kingdom","",114217,0,15464,2020-04-18
"448","United Kingdom","Anguilla",3,1,0,2020-04-19
"449","United Kingdom","Bermuda",86,35,5,2020-04-19
"450","United Kingdom","British Virgin Islands",4,2,1,2020-04-19
"451","United Kingdom","Cayman Islands",61,7,1,2020-04-19
"452","United Kingdom","Channel Islands",488,73,21,2020-04-19
"453","United Kingdom","Falkland Islands (Malvinas)",11,3,0,2020-04-19
"454","United Kingdom","Gibraltar",132,120,0,2020-04-19
"455","United Kingdom","Isle of Man",298,193,6,2020-04-19
"456","United Kingdom","Montserrat",11,2,0,2020-04-19
"457","United Kingdom","Turks and Caicos Islands",11,0,1,2020-04-19
"458","Germany","",145184,88000,4586,2020-04-19
"459","United Kingdom","",120067,0,16060,2020-04-19
"460","United Kingdom","Anguilla",3,1,0,2020-04-20
"461","United Kingdom","Bermuda",86,37,5,2020-04-20
"462","United Kingdom","British Virgin Islands",5,3,1,2020-04-20
"463","United Kingdom","Cayman Islands",66,7,1,2020-04-20
