"","user_name","user_location","user_description","user_created","user_followers","user_friends","user_favourites","user_verified","date","text","hashtags","source","is_retweet"
"1","UN Geneva","CH","Official account of the United Nations Office at Geneva (UNOG)
En français: https://t.co/Ocg3M4d43o
https://t.co/QTFi68voix 
https://t.co/inf8Qc1HUH 
https://t.co/5ezfbQu3jY","2010-07-08 12:55:16",530104,1661,18840,TRUE,2020-07-25,"More and more single-use masks, gloves &amp; bottles of sanitizer are ending up on the streets, in the seas &amp; among wil… https://t.co/qbf3tBLmzX","","TweetDeck",FALSE
"2","Philipp Negele","CH","Successful and experienced: 20 years of sales & marketing in the ICT industry. Now, account manager for technology service providers at Gartner (@Gartner_inc).","2011-02-16 12:35:10",75,137,7,FALSE,2020-07-25,"Join a cross-functional panel of Gartner experts on 7/27 for a free #webinar, ""Panel Discussion: Adapt to Your Cust… https://t.co/FccjFMZQ32","['webinar']","Bambu by Sprout Social",FALSE
"3","UNAIDS","CH","UNAIDS leads & inspires the world to achieve zero new #HIV infections, #zerodiscrimination and zero #AIDS-related deaths. Executive Director: @Winnie_Byanyima","2009-01-19 08:43:40",267103,1841,3822,TRUE,2020-07-25,"""In many parts of the world, #COVID19 is colliding with the ongoing HIV epidemic. As the latest UNAIDS report shows… https://t.co/3S5GjX7Ckc","['COVID19']","Twitter for Advertisers",FALSE
"4","Sergio_Raguso 🌐","CH","▫️Regulation Manager ","",NA,NA,NA,NA,NA,"","","",NA
"5","Mariano Mos","CH","Argentinean and swiss
I am about to become homeless the 1st of August because the swiss social services lied and after 2 months they want me on the streets","2011-12-26 19:25:38",7118,7486,5,FALSE,2020-07-25,"","","",NA
"6","Mariano Mos","CH","Argentinean and swiss
I am about to become homeless the 1st of August because the swiss social services lied and after 2 months they want me on the streets","2011-12-26 19:25:38",7118,7486,5,FALSE,2020-07-25,"","","",NA
"7","covidnews.ch","CH","Coronavirus Statistics, Information & News","2020-03-21 16:13:52",352,1881,148,FALSE,2020-07-25,"#CoronaInfoCH #COVID19 #corona #canada 
Student researchers brainstorm...
https://t.co/KgmNvfl2Im","['CoronaInfoCH', 'COVID19', 'corona', 'canada']","FS Poster",FALSE
"8","covidnews.ch","CH","Coronavirus Statistics, Information & News","2020-03-21 16:13:52",352,1881,148,FALSE,2020-07-25,"#CoronaInfoCH #COVID19 #corona #ireland 
Horse barred due to trainer's high temperature, RTE
https://c...
https://t.co/P6bDsyFILH","['CoronaInfoCH', 'COVID19', 'corona', 'ireland']","FS Poster",FALSE
"9","covidnews.ch","CH","Coronavirus Statistics, Information & News","2020-03-21 16:13:52",352,1881,148,FALSE,2020-07-25,"#CoronaInfoCH #COVID19 #corona #worldnews 
South Texas prepares for Tropica...
https://t.co/BKYU0H8V0y","['CoronaInfoCH', 'COVID19', 'corona', 'worldnews']","FS Poster",FALSE
"10","covidnews.ch","CH","Coronavirus Statistics, Information & News","2020-03-21 16:13:52",352,1881,148,FALSE,2020-07-25,"#CoronaInfoCH #COVID19 #corona #worldnews 
Asia Today: SKorea records 113 ne...
https://t.co/q04v1xTvxw","['CoronaInfoCH', 'COVID19', 'corona', 'worldnews']","FS Poster",FALSE
"11","covidnews.ch","CH","Coronavirus Statistics, Information & News","2020-03-21 16:13:52",352,1881,148,FALSE,2020-07-25,"#CoronaInfoCH #COVID19 #corona #worldnews 
Boeing to delay 777X as demand drops...
https://t.co/0Zt5BocWBC","['CoronaInfoCH', 'COVID19', 'corona', 'worldnews']","FS Poster",FALSE
"12","Richard Taylor","CH","","2017-05-13 07:45:39",68,193,2133,FALSE,2020-07-25,"The #COVID19 lockdown has changed our lives in many ways, some more obvious than others, but one area that is emerg… https://t.co/H2wf8D2i8p","['COVID19']","Twitter for iPad",FALSE
"13","Maria Van Kerkhove","CH","Infectious Disease Epidemiologist; COVID-19 Technical Lead @WHO, WHO Health Emergencies Programme. Mother of 2. Opinions are my own","2013-11-12 22:07:25",33958,500,3799,TRUE,2020-07-25,"@WHO has outlined actions that have been successful in ⬇️ transmission &amp; saving lives

Let’s use the tools we have… https://t.co/PuqVd83oy0","","Twitter for iPhone",FALSE
"14","covidnews.ch","CH","Coronavirus Statistics, Information & News","2020-03-21 16:13:52",352,1881,148,FALSE,2020-07-25,"#CoronaInfoCH #COVID19 #corona #coronainfoch #switzerland 
#CoronaInfoCH #Coronavirus # COVID1...
https://t.co/X3xXG9armA","['CoronaInfoCH', 'COVID19', 'corona', 'coronainfoch', 'switzerland', 'CoronaInfoCH', 'Coronavirus']","FS Poster",FALSE
"15","UN Geneva","CH","Official account of the United Nations Office at Geneva (UNOG)
En français: https://t.co/Ocg3M4d43o
https://t.co/QTFi68voix 
https://t.co/inf8Qc1HUH 
https://t.co/5ezfbQu3jY","2010-07-08 12:55:16",530104,1661,18840,TRUE,2020-07-25,"Low &amp; middle countries are spending US$7.00-$9.50 per capita on social assistance while high-income countries spend… https://t.co/EF5jmjAWE8","","TweetDeck",FALSE
"16","Drugs for Neglected Diseases initiative","CH","International non-profit developing safe, effective, and affordable treatments for the most neglected patients.
Register for our webinar in the link below:","2011-02-23 09:59:25",12732,2165,2910,TRUE,2020-07-25,"#TB &amp; #HIV testing rates, vaccinations are dropping in South Africa because of #COVID19 - which has “a dramatic imp… https://t.co/rbqu0d2laL","['TB', 'HIV', 'COVID19']","Sprout Social",FALSE
"17","Esther Pak","CH","Swiss-based Korean-American grad student @IHEID from Chi-Town. @JohnsHopkinsSPH alum. Jazz/comedy aficionado. Tweets about global health and life epiphanies.","2014-02-08 22:12:45",137,285,2493,FALSE,2020-07-25,"#WHO declared #COVID19 a #PHEIC on January 30 when it had infected 7000+ people and 18 countries.

H1N1 was designa… https://t.co/ZrFeZ7v6a9","['WHO', 'COVID19', 'PHEIC']","Twitter Web App",FALSE
"18","Esther Pak","CH","Swiss-based Korean-American grad student @IHEID from Chi-Town. @JohnsHopkinsSPH alum. Jazz/comedy aficionado. Tweets about global health and life epiphanies.","2014-02-08 22:12:45",137,285,2493,FALSE,2020-07-25,"@Twitter - any tweet I post with @WHO and ","","",NA
"19","Esther Pak","CH","Swiss-based Korean-American grad student @IHEID from Chi-Town. @JohnsHopkinsSPH alum. Jazz/comedy aficionado. Tweets about global health and life epiphanies.","2014-02-08 22:12:45",137,285,2493,FALSE,2020-07-25,"@WHO declared #COVID19 a #PHEIC on January 30 when it had infected 7000+ people and 18 countries.

H1N1 was designa… https://t.co/3nldq0pyR0","['COVID19', 'PHEIC']","Twitter Web App",FALSE
"20","UN Human Rights","CH","The United Nations ","",NA,NA,NA,NA,NA,"","","",NA
"21","covidnews.ch","CH","Coronavirus Statistics, Information & News","2020-03-21 16:13:52",352,1881,148,FALSE,2020-07-25,"#CoronaInfoCH #COVID19 #corona #worldnews 
The Latest: Australian state repo...
https://t.co/Q8TmTyXvoy","['CoronaInfoCH', 'COVID19', 'corona', 'worldnews']","FS Poster",FALSE
"22","covidnews.ch","CH","Coronavirus Statistics, Information & News","2020-03-21 16:13:52",352,1881,148,FALSE,2020-07-25,"#CoronaInfoCH #COVID19 #corona #worldnews 
Pregnant women at risk of death in...
https://t.co/qBaek0qYUS","['CoronaInfoCH', 'COVID19', 'corona', 'worldnews']","FS Poster",FALSE
"23","covidnews.ch","CH","Coronavirus Statistics, Information & News","2020-03-21 16:13:52",352,1881,148,FALSE,2020-07-25,"#CoronaInfoCH #COVID19 #corona #worldnews 
NFL-Chiefs' Duvernay-Tardif firs...
https://t.co/IYCyT7qV1C","['CoronaInfoCH', 'COVID19', 'corona', 'worldnews']","FS Poster",FALSE
"24","covidnews.ch","CH","Coronavirus Statistics, Information & News","2020-03-21 16:13:52",352,1881,148,FALSE,2020-07-25,"#CoronaInfoCH #COVID19 #corona #worldnews 
Chiefs' Duvernay-Tardif first...
https://t.co/fJThFGLRpX","['CoronaInfoCH', 'COVID19', 'corona', 'worldnews']","FS Poster",FALSE
"25","Thomas Oertli","CH","Engineering Manager at Google
Etre inerte, c'est être battu.","2015-05-18 17:07:28",197,243,946,FALSE,2020-07-25,"I discovered the source of the pandemic! ","","",NA
"26","Philipp Negele","CH","Successful and experienced: 20 years of sales & marketing in the ICT industry. Now, account manager for technology service providers at Gartner (@Gartner_inc).","2011-02-16 12:35:10",75,137,7,FALSE,2020-07-25,"Gartner says worldwide ","","",NA
"27","Dr Emma Hodcroft","CH","Die Virenjägerin! ☣️🏹🧬
Co-developer of @nextstrain at @biozentrum @UniBas!
Using programming & phylogenetics, I study & track viruses. I like airplanes & cats","2009-03-07 22:23:37",21339,457,9115,TRUE,2020-07-25,"High risk Starr County #Texas was a 'model for the country' in containing #COVID19 #SARSCoV2 via masks, stay-at-hom… https://t.co/h4ns75JUVj","['Texas', 'COVID19', 'SARSCoV2']","Twitter Web App",FALSE
