"","user_name","user_location","date","text"
"1","Mr Gazz","UK",2020-07-25,"@jfoster2019 @bbclaurak Well #BorisJohnson might have understood more if he hadn't missed #5COBRA meeting #Five 
In… https://t.co/mQPAgCYGn2"
"2","Matthew McGee ⴵ 🌍🇪🇺🇬🇧🎭🎞📚","UK",2020-07-25,"Britain didn't understand #Covid19 for months, while plenty of other countries did understand it and took effective… https://t.co/KV2CAQ6skZ"
"3","Horace Hamilton","UK",2020-07-25,"Coronavirus Testing Fiasco: St Mirren have pledged to undertake an ""urgent review"" of their Covid-19 testing proced… https://t.co/AkxvIaD1Pr"
"4","Tom J","UK",2020-07-25,"Coronavirus Testing Fiasco: St Mirren have pledged to undertake an ""urgent review"" of their Covid-19 testing proced… https://t.co/dx8Yt7CvsM"
"5","Charles Mapundu","UK",2020-07-25,"This video had me in stitches
https://t.co/tadF3G6qKJ #obesity #زواج_راكان_الحربي #carryminati #my200vsbutch200… https://t.co/fsZ8NTuVDg"
"6","Chris Latham. 🌹👍🍺🎶🏖️😃⚽","UK",2020-07-25,"@Haggis_UK “I think the government has hugely overestimated the danger of the disease”
I wonder if he’d be brave en… https://t.co/gWJc6nUKqo"
"7","Mike D","UK",2020-07-25,"@toadmeister Yes, evidence has increased. Plus early WHO guidance was due to the global PPE shortage - priority to… https://t.co/Emdvdhx9Nw"
"8","Michelle Dunning","UK",2020-07-25,"@BenJamesPhotos Italy "
"9","Leicestershire CC","UK",2020-07-25,"#Leicestershire residents – if you develop any #Covid19 symptoms, even mild ones, book a test immediately at… https://t.co/Nmz8sJORJp"
"10","Nina Bafouni ANutr","UK",2020-07-25,"Just imagine...going back to sitting on an average of nearly 6.2 DAYS / year in the car in standstill traffic in Lo… https://t.co/kReiLNFqav"
"11","Rich","UK",2020-07-25,"For me, someone who has been affected by social anxiety, wearing a face mask is amazing. I feel slightly hidden fro… https://t.co/t5zBRcraUp"
"12","Suky Spook","UK",2020-07-25,"@Intuitive1966 Yes but 
“we’re learning more about #COVID19 every day” &amp; 
“we’re listening to the science”.… https://t.co/aJW17HoIu8"
"13","StevenageTico","UK",2020-07-25,"Are people working in shops supposed to wear face covering? "
"14","coley","UK",2020-07-25,"STOP FOGGY GLASSES WITH THIS HACK!!!!!! "
"15","Michelle Dunning","UK",2020-07-25,"@BenJamesPhotos Pink "
"16","Chetan D Parmar","UK",2020-07-25,"Pleased to share our interesting results from worldwide survey of impact of "
"17","Michelle Dunning","UK",2020-07-25,"@BenJamesPhotos A new beginning 6yrs ago.  A wonderful new addition to our family. Marley has brought us all so muc… https://t.co/tlZIstA3xs"
"18","Nelson Amaral","UK",2020-07-25,"Help slow the spread of #COVID19 and identify at risk cases sooner by self-reporting your symptoms daily, even if y… https://t.co/u68CCkBZ1p"
"19","Nicehands35","UK",2020-07-25,"#bbcaq Oh yes, I am sure we will be perfectly happy with self-certification re #distress with #wearingamask #wearamask #viralload #COVID19"
"20","IER","UK",2020-07-25,"Our director will be speaking shortly on the Peoples Assembly event on the future of industry, jobs and rights at w… https://t.co/oZZbq6rgup"
"21","Wandsworth Council Business Team","UK",2020-07-25,"The online retail sector is busier than ever since the outbreak of "
"22","USSbriefs is offering polite advice","UK",2020-07-25,"'Many US institutions of HE are forging ahead with on-campus, in-person classes + activities for fall terms, making… https://t.co/7an9s88MUt"
"23","Colin Robinson","UK",2020-07-25,"Help slow the spread of #COVID19 and identify at risk cases sooner by self-reporting your symptoms daily, even if y… https://t.co/i3gCMhxaFT"
"24","Andrew Morgan📐✏🔨📏 🏴󠁧󠁢󠁷󠁬󠁳󠁿🇪🇺","UK",2020-07-25,"I know no one could have foreseen #COVID19 , but the #UK would have been in a far better position if it were not lo… https://t.co/ep0MMX7XMH"
"25","Mary Farmer 🇬🇧 Stop Cyber Bullying","UK",2020-07-25,"Yestwrday, a friend’s brother died in Zimbabwe 🇿🇼, they called an ambulance at 2pm, it came at 8pm! #COVID19"
"26","Musa McArthur MYP","UK",2020-07-25,"This government was too slow to act, and even they now admit that. They followed and did not lead! It's very hard f… https://t.co/0ZlVcPpKkb"
"27","MorningGlory","UK",2020-07-25,"could double as a "
"28","Jackie Bickerstaffe","UK",2020-07-25,"Help slow the spread of #COVID19 and identify at risk cases sooner by self-reporting your symptoms daily, even if y… https://t.co/KSyVttdgqo"
"29","Ines Abdelaziz ✨","UK",2020-07-25,"Wear a face cover or pay £100 fine. New laws imposed in London "
