"","Country.Region","Province.State","Confirmed","Recovered","Deaths","Date"
"1","Switzerland","",14829,1595,300,2020-03-29
"2","Switzerland","",15922,1823,359,2020-03-30
"3","Switzerland","",16605,1823,433,2020-03-31
"4","Switzerland","",17768,2967,488,2020-04-01
"5","Switzerland","",18827,4013,536,2020-04-02
"6","Switzerland","",19606,4846,591,2020-04-03
"7","Switzerland","",20505,6415,666,2020-04-04
"8","Switzerland","",21100,6415,715,2020-04-05
"9","Switzerland","",21657,8056,765,2020-04-06
"10","Switzerland","",22253,8704,821,2020-04-07
"11","Switzerland","",23280,9800,895,2020-04-08
"12","Switzerland","",24051,10600,948,2020-04-09
"13","Switzerland","",24551,11100,1002,2020-04-10
"14","Switzerland","",25107,12100,1036,2020-04-11
"15","Switzerland","",25415,12700,1106,2020-04-12
"16","Switzerland","",25688,13700,1138,2020-04-13
"17","Switzerland","",25936,13700,1174,2020-04-14
"18","Switzerland","",26336,15400,1239,2020-04-15
"19","Switzerland","",26732,15900,1281,2020-04-16
"20","Switzerland","",27078,16400,1327,2020-04-17
"21","Switzerland","",27404,17100,1368,2020-04-18
"22","Switzerland","",27740,17800,1393,2020-04-19
"23","Switzerland","",27944,18600,1429,2020-04-20
"24","Switzerland","",28063,19400,1478,2020-04-21
"25","Switzerland","",28268,19900,1509,2020-04-22
"26","Switzerland","",28496,20600,1549,2020-04-23
"27","Switzerland","",28677,21000,1589,2020-04-24
"28","Switzerland","",28894,21300,1599,2020-04-25
"29","Switzerland","",29061,21800,1610,2020-04-26
"30","Switzerland","",29164,22200,1665,2020-04-27
"31","Switzerland","",29264,22600,1699,2020-04-28
"32","Switzerland","",29407,22600,1716,2020-04-29
"33","Switzerland","",29586,23400,1737,2020-04-30
"34","Switzerland","",34154,30500,1977,2020-07-24
"35","Switzerland","",34302,30500,1977,2020-07-25
"36","Switzerland","",34412,30700,1977,2020-07-26
"37","Switzerland","",34477,30900,1978,2020-07-27
"38","Switzerland","",34609,31000,1978,2020-07-28
"39","Switzerland","",34802,31100,1979,2020-07-29
"40","Switzerland","",35022,31100,1980,2020-07-30
"41","Switzerland","",35232,31100,1981,2020-07-31
"42","Switzerland","",35412,31300,1981,2020-08-01
"43","Switzerland","",35550,31500,1981,2020-08-02
"44","Switzerland","",35616,31500,1981,2020-08-03
"45","Switzerland","",35746,31600,1981,2020-08-04
"46","Switzerland","",35927,31600,1984,2020-08-05
"47","Switzerland","",36108,31600,1985,2020-08-06
"48","Switzerland","",36269,31600,1986,2020-08-07
"49","Switzerland","",36451,31900,1986,2020-08-08
"50","Switzerland","",36603,32300,1986,2020-08-09
"51","Switzerland","",36708,32400,1987,2020-08-10
"52","Switzerland","",36895,32400,1990,2020-08-11
"53","Switzerland","",37169,32700,1991,2020-08-12
"54","Switzerland","",37403,32700,1991,2020-08-13
"55","Switzerland","",37671,32900,1991,2020-08-14
"56","Switzerland","",37924,33200,1991,2020-08-15
"57","Switzerland","",38124,33300,1991,2020-08-16
"58","Switzerland","",38252,33300,1991,2020-08-17
"59","Switzerland","",38449,33500,1992,2020-08-18
"60","Switzerland","",38760,33500,1996,2020-08-19
"61","Switzerland","",39026,33900,1998,2020-08-20
"62","Switzerland","",39332,33900,2000,2020-08-21
"63","Switzerland","",39627,34100,2000,2020-08-22
"64","Switzerland","",39903,34400,2001,2020-08-23
"65","Switzerland","",40060,34400,2001,2020-08-24
"66","Switzerland","",40262,34400,2002,2020-08-25
"67","Switzerland","",40645,34800,2003,2020-08-26
"68","Switzerland","",41006,34800,2003,2020-08-27
"69","Switzerland","",41346,34800,2004,2020-08-28
"70","Switzerland","",41722,35200,2005,2020-08-29
"71","Switzerland","",42014,35800,2005,2020-08-30
