"","Country.Region","Province.State","Confirmed","Recovered","Deaths","Date"
"1","Germany","Bavaria",4,NA,NA,2020-01-28
"2","Germany","Bavaria",4,NA,NA,2020-01-29
"3","Germany","Bavaria",4,NA,NA,2020-01-30
"4","Germany","Bavaria",5,NA,NA,2020-01-31
"5","Italy","",2,NA,NA,2020-01-31
"6","United Kingdom","",2,NA,NA,2020-01-31
"7","Germany","",8,0,0,2020-02-01
"8","Italy","",2,0,0,2020-02-01
"9","United Kingdom","",2,0,0,2020-02-01
"10","Germany","",10,0,0,2020-02-02
"11","Italy","",2,0,0,2020-02-02
"12","United Kingdom","",2,0,0,2020-02-02
"13","Germany","",12,0,0,2020-02-03
"14","Italy","",2,0,0,2020-02-03
"15","United Kingdom","",2,0,0,2020-02-03
"16","Germany","",12,0,0,2020-02-04
"17","Italy","",2,0,0,2020-02-04
"18","United Kingdom","",2,0,0,2020-02-04
"19","Germany","",12,0,0,2020-02-05
"20","Italy","",2,0,0,2020-02-05
"21","United Kingdom","",2,0,0,2020-02-05
"22","Germany","",12,0,0,2020-02-06
"23","Italy","",2,0,0,2020-02-06
"24","United Kingdom","",2,0,0,2020-02-06
"25","Germany","",13,0,0,2020-02-07
"26","Italy","",3,0,0,2020-02-07
"27","United Kingdom","",3,0,0,2020-02-07
"28","Germany","",13,0,0,2020-02-08
"29","Italy","",3,0,0,2020-02-08
"30","United Kingdom","",3,0,0,2020-02-08
"31","Germany","",14,0,0,2020-02-09
"32","Italy","",3,0,0,2020-02-09
"33","United Kingdom","",3,0,0,2020-02-09
"34","Germany","",14,0,0,2020-02-10
"35","United Kingdom","",8,0,0,2020-02-10
"36","Italy","",3,0,0,2020-02-10
"37","Germany","",16,0,0,2020-02-11
"38","United Kingdom","",8,0,0,2020-02-11
"39","Italy","",3,0,0,2020-02-11
"40","Germany","",16,0,0,2020-02-12
"41","United Kingdom","",9,1,0,2020-02-12
"42","Italy","",3,0,0,2020-02-12
"43","Germany","",16,1,0,2020-02-13
"44","United Kingdom","",9,1,0,2020-02-13
"45","Italy","",3,0,0,2020-02-13
"46","Germany","",16,1,0,2020-02-14
"47","United Kingdom","",9,1,0,2020-02-14
"48","Italy","",3,0,0,2020-02-14
"49","Germany","",16,1,0,2020-02-15
"50","United Kingdom","",9,1,0,2020-02-15
"51","Italy","",3,0,0,2020-02-15
"52","Germany","",16,1,0,2020-02-16
"53","United Kingdom","",9,8,0,2020-02-16
"54","Italy","",3,0,0,2020-02-16
"55","Germany","",16,1,0,2020-02-17
"56","United Kingdom","",9,8,0,2020-02-17
"57","Italy","",3,0,0,2020-02-17
"58","Germany","",16,12,0,2020-02-18
"59","United Kingdom","",9,8,0,2020-02-18
"60","Italy","",3,0,0,2020-02-18
"61","Germany","",16,12,0,2020-02-19
"62","United Kingdom","",9,8,0,2020-02-19
"63","Italy","",3,0,0,2020-02-19
"64","Germany","",16,12,0,2020-02-20
"65","United Kingdom","",9,8,0,2020-02-20
"66","Italy","",3,0,0,2020-02-20
"67","Italy","",20,0,1,2020-02-21
"68","Germany","",16,14,0,2020-02-21
"69","United Kingdom","",9,8,0,2020-02-21
"70","Italy","",62,1,2,2020-02-22
"71","Germany","",16,14,0,2020-02-22
"72","United Kingdom","",9,8,0,2020-02-22
"73","Italy","",155,2,3,2020-02-23
"74","Germany","",16,14,0,2020-02-23
"75","United Kingdom","",9,8,0,2020-02-23
"76","Italy","",229,1,7,2020-02-24
"77","Germany","",16,14,0,2020-02-24
"78","United Kingdom","",13,8,0,2020-02-24
"79","Italy","",322,1,10,2020-02-25
"80","Germany","",17,14,0,2020-02-25
"81","United Kingdom","",13,8,0,2020-02-25
"82","Switzerland","",1,0,0,2020-02-25
"83","Italy","",453,3,12,2020-02-26
"84","Germany","",27,15,0,2020-02-26
"85","United Kingdom","",13,8,0,2020-02-26
"86","Switzerland","",1,0,0,2020-02-26
"87","Italy","",655,45,17,2020-02-27
"88","Germany","",46,16,0,2020-02-27
"89","United Kingdom","",15,8,0,2020-02-27
"90","Switzerland","",8,0,0,2020-02-27
"91","Italy","",888,46,21,2020-02-28
"92","Germany","",48,16,0,2020-02-28
"93","United Kingdom","",20,8,0,2020-02-28
"94","Switzerland","",8,0,0,2020-02-28
"95","Italy","",1128,46,29,2020-02-29
"96","Germany","",79,16,0,2020-02-29
"97","United Kingdom","",23,8,0,2020-02-29
"98","Switzerland","",18,0,0,2020-02-29
"99","Italy","",1694,83,34,2020-03-01
"100","Germany","",130,16,0,2020-03-01
"101","United Kingdom","",36,8,0,2020-03-01
"102","Switzerland","",27,0,0,2020-03-01
"103","Italy","",2036,149,52,2020-03-02
"104","Germany","",159,16,0,2020-03-02
"105","Switzerland","",42,0,0,2020-03-02
"106","United Kingdom","",40,8,0,2020-03-02
"107","Italy","",2502,160,79,2020-03-03
"108","Germany","",196,16,0,2020-03-03
"109","Switzerland","",56,2,0,2020-03-03
"110","United Kingdom","",51,8,0,2020-03-03
"111","Italy","",3089,276,107,2020-03-04
"112","Germany","",262,16,0,2020-03-04
"113","Switzerland","",90,3,0,2020-03-04
"114","United Kingdom","",85,8,0,2020-03-04
"115","Italy","",3858,414,148,2020-03-05
"116","Germany","",482,16,0,2020-03-05
"117","United Kingdom","",115,8,1,2020-03-05
"118","Switzerland","",114,3,1,2020-03-05
"119","Italy","",4636,523,197,2020-03-06
"120","Germany","",670,17,0,2020-03-06
"121","Switzerland","",214,3,1,2020-03-06
"122","United Kingdom","",163,8,2,2020-03-06
"123","Italy","",5883,589,233,2020-03-07
"124","Germany","",799,18,0,2020-03-07
"125","Switzerland","",268,3,1,2020-03-07
"126","United Kingdom","",206,18,2,2020-03-07
"127","Italy","",7375,622,366,2020-03-08
"128","Germany","",1040,18,0,2020-03-08
"129","Switzerland","",337,3,2,2020-03-08
"130","United Kingdom","",273,18,3,2020-03-08
"131","Italy","",9172,724,463,2020-03-09
"132","Germany","",1176,18,2,2020-03-09
"133","Switzerland","",374,3,2,2020-03-09
"134","United Kingdom","",321,18,4,2020-03-09
"135","Italy","",10149,724,631,2020-03-10
"136","Germany","",1457,18,2,2020-03-10
"137","Switzerland","",491,3,3,2020-03-10
"138","United Kingdom","",382,18,6,2020-03-10
"139","Italy","",12462,1045,827,2020-03-11
"140","Germany","",1908,25,3,2020-03-11
"141","Switzerland","",652,4,4,2020-03-11
"142","United Kingdom","UK",456,18,8,2020-03-11
"143","United Kingdom","Channel Islands",2,0,0,2020-03-11
"144","United Kingdom","Gibraltar",1,1,0,2020-03-11
"145","Italy","",15113,1258,1016,2020-03-12
"146","Germany","",2369,25,5,2020-03-12
"147","Switzerland","",815,4,4,2020-03-12
"148","United Kingdom","UK",456,18,8,2020-03-12
"149","United Kingdom","Channel Islands",2,0,0,2020-03-12
"150","United Kingdom","Gibraltar",1,1,0,2020-03-12
"151","United Kingdom","Channel Islands",2,0,0,2020-03-13
"152","Germany","",3675,46,7,2020-03-13
"153","Italy","",17660,1439,1266,2020-03-13
"154","Switzerland","",1139,4,11,2020-03-13
"155","United Kingdom","United Kingdom",798,18,8,2020-03-13
"156","United Kingdom","Gibraltar",1,1,0,2020-03-13
"157","Italy","",21157,1966,1441,2020-03-14
"158","Germany","",4585,46,9,2020-03-14
"159","Switzerland","",1359,4,13,2020-03-14
"160","United Kingdom","United Kingdom",1140,18,21,2020-03-14
"161","United Kingdom","Channel Islands",2,0,0,2020-03-14
"162","United Kingdom","Gibraltar",1,1,0,2020-03-14
"163","Italy","",24747,2335,1809,2020-03-15
"164","Germany","",5795,46,11,2020-03-15
"165","Switzerland","",2200,4,14,2020-03-15
"166","United Kingdom","United Kingdom",1140,18,21,2020-03-15
"167","United Kingdom","Channel Islands",3,0,0,2020-03-15
"168","United Kingdom","Gibraltar",1,1,0,2020-03-15
"169","Italy","",27980,2749,2158,2020-03-16
"170","Germany","",7272,67,17,2020-03-16
"171","Switzerland","",2200,4,14,2020-03-16
"172","United Kingdom","United Kingdom",1543,20,55,2020-03-16
"173","United Kingdom","Channel Islands",6,0,0,2020-03-16
"174","United Kingdom","Cayman Islands",1,0,1,2020-03-16
"175","United Kingdom","Gibraltar",1,1,0,2020-03-16
"176","Italy","",31506,2941,2503,2020-03-17
"177","Germany","",9257,67,24,2020-03-17
"178","Switzerland","",2700,4,27,2020-03-17
"179","United Kingdom","United Kingdom",1950,52,55,2020-03-17
"180","United Kingdom","Channel Islands",6,0,0,2020-03-17
"181","United Kingdom","Gibraltar",3,1,0,2020-03-17
"182","United Kingdom","Cayman Islands",1,0,1,2020-03-17
"183","Italy","",35713,4025,2978,2020-03-18
"184","Germany","",12327,105,28,2020-03-18
"185","Switzerland","",3028,15,28,2020-03-18
"186","United Kingdom","United Kingdom",2626,65,71,2020-03-18
"187","United Kingdom","Gibraltar",8,2,0,2020-03-18
"188","United Kingdom","Channel Islands",6,0,0,2020-03-18
"189","United Kingdom","Cayman Islands",1,0,1,2020-03-18
"190","United Kingdom","Montserrat",1,0,0,2020-03-18
"191","Italy","",41035,4440,3405,2020-03-19
"192","Germany","",15320,113,44,2020-03-19
"193","Switzerland","",4075,15,41,2020-03-19
"194","United Kingdom","United Kingdom",2689,65,137,2020-03-19
"195","United Kingdom","Channel Islands",11,0,0,2020-03-19
"196","United Kingdom","Gibraltar",10,2,0,2020-03-19
"197","United Kingdom","Cayman Islands",3,0,1,2020-03-19
"198","United Kingdom","Bermuda",2,0,0,2020-03-19
"199","United Kingdom","Montserrat",1,0,0,2020-03-19
"200","Italy","",47021,4440,4032,2020-03-20
"201","Germany","",19848,180,67,2020-03-20
"202","Switzerland","",5294,15,54,2020-03-20
"203","United Kingdom","United Kingdom",3983,65,177,2020-03-20
"204","United Kingdom","Channel Islands",14,0,0,2020-03-20
"205","United Kingdom","Gibraltar",10,2,0,2020-03-20
"206","United Kingdom","Cayman Islands",3,0,1,2020-03-20
"207","United Kingdom","Bermuda",2,0,0,2020-03-20
"208","United Kingdom","Isle of Man",1,0,0,2020-03-20
"209","United Kingdom","Montserrat",1,0,0,2020-03-20
"210","Italy","",53578,6072,4825,2020-03-21
"211","Germany","",22213,233,84,2020-03-21
"212","Switzerland","",6575,15,75,2020-03-21
"213","United Kingdom","United Kingdom",5018,65,233,2020-03-21
"214","United Kingdom","Channel Islands",32,0,0,2020-03-21
"215","United Kingdom","Gibraltar",10,2,0,2020-03-21
"216","United Kingdom","Cayman Islands",3,0,1,2020-03-21
"217","United Kingdom","Bermuda",2,0,0,2020-03-21
"218","United Kingdom","Isle of Man",1,0,0,2020-03-21
"219","United Kingdom","Montserrat",1,0,0,2020-03-21
"220","Italy","",59138,7024,5476,2020-03-22
"221","Germany","",24873,266,94,2020-03-22
"222","Switzerland","",7474,131,98,2020-03-22
"223","United Kingdom","",5683,93,281,2020-03-22
"224","United Kingdom","Channel Islands",32,0,0,2020-03-22
"225","United Kingdom","Gibraltar",15,2,0,2020-03-22
"226","United Kingdom","Isle of Man",5,0,0,2020-03-22
"227","United Kingdom","Cayman Islands",3,0,1,2020-03-22
"228","United Kingdom","Bermuda",2,0,0,2020-03-22
"229","United Kingdom","Montserrat",1,0,0,2020-03-22
"230","United Kingdom","Bermuda",6,0,0,2020-03-23
"231","United Kingdom","Cayman Islands",5,0,1,2020-03-23
"232","United Kingdom","Channel Islands",36,0,0,2020-03-23
"233","United Kingdom","Gibraltar",15,5,0,2020-03-23
"234","United Kingdom","Isle of Man",13,0,0,2020-03-23
"235","United Kingdom","Montserrat",1,0,0,2020-03-23
"236","Germany","",29056,453,123,2020-03-23
"237","Italy","",63927,7432,6077,2020-03-23
"238","Switzerland","",8795,131,120,2020-03-23
"239","United Kingdom","",6650,135,335,2020-03-23
"240","United Kingdom","Bermuda",6,0,0,2020-03-24
"241","United Kingdom","Cayman Islands",6,0,1,2020-03-24
"242","United Kingdom","Channel Islands",36,0,0,2020-03-24
"243","United Kingdom","Gibraltar",15,5,0,2020-03-24
"244","United Kingdom","Isle of Man",23,0,0,2020-03-24
"245","United Kingdom","Montserrat",1,0,0,2020-03-24
"246","Germany","",32986,3243,157,2020-03-24
"247","Italy","",69176,8326,6820,2020-03-24
"248","Switzerland","",9877,131,122,2020-03-24
"249","United Kingdom","",8077,135,422,2020-03-24
"250","United Kingdom","Bermuda",7,0,0,2020-03-25
"251","United Kingdom","Cayman Islands",8,0,1,2020-03-25
"252","United Kingdom","Channel Islands",46,0,0,2020-03-25
"253","United Kingdom","Gibraltar",26,5,0,2020-03-25
"254","United Kingdom","Isle of Man",23,0,0,2020-03-25
"255","United Kingdom","Montserrat",1,0,0,2020-03-25
"256","Germany","",37323,3547,206,2020-03-25
"257","Italy","",74386,9362,7503,2020-03-25
"258","Switzerland","",10897,131,153,2020-03-25
"259","United Kingdom","",9529,135,465,2020-03-25
"260","United Kingdom","Bermuda",15,2,0,2020-03-26
"261","United Kingdom","Cayman Islands",8,0,1,2020-03-26
"262","United Kingdom","Channel Islands",66,0,1,2020-03-26
"263","United Kingdom","Gibraltar",35,13,0,2020-03-26
"264","United Kingdom","Isle of Man",25,0,0,2020-03-26
"265","United Kingdom","Montserrat",5,0,0,2020-03-26
"266","Germany","",43938,5673,267,2020-03-26
"267","Italy","",80589,10361,8215,2020-03-26
"268","Switzerland","",11811,131,191,2020-03-26
"269","United Kingdom","",11658,135,578,2020-03-26
"270","United Kingdom","Bermuda",17,2,0,2020-03-27
"271","United Kingdom","Cayman Islands",8,0,1,2020-03-27
"272","United Kingdom","Channel Islands",88,0,1,2020-03-27
"273","United Kingdom","Gibraltar",55,14,0,2020-03-27
"274","United Kingdom","Isle of Man",29,0,0,2020-03-27
"275","United Kingdom","Montserrat",5,0,0,2020-03-27
"276","Germany","",50871,6658,342,2020-03-27
"277","Italy","",86498,10950,9134,2020-03-27
"278","Switzerland","",12928,1530,231,2020-03-27
"279","United Kingdom","",14543,135,759,2020-03-27
"280","United Kingdom","Anguilla",2,0,0,2020-03-28
"281","United Kingdom","Bermuda",17,2,0,2020-03-28
"282","United Kingdom","British Virgin Islands",2,0,0,2020-03-28
"283","United Kingdom","Cayman Islands",8,0,1,2020-03-28
"284","United Kingdom","Channel Islands",97,0,1,2020-03-28
"285","United Kingdom","Gibraltar",56,14,0,2020-03-28
"286","United Kingdom","Isle of Man",32,0,0,2020-03-28
"287","United Kingdom","Montserrat",5,0,0,2020-03-28
"288","United Kingdom","Turks and Caicos Islands",4,0,0,2020-03-28
"289","Germany","",57695,8481,433,2020-03-28
"290","Italy","",92472,12384,10023,2020-03-28
"291","Switzerland","",14076,1530,264,2020-03-28
"292","United Kingdom","",17089,135,1019,2020-03-28
"293","United Kingdom","Anguilla",2,0,0,2020-03-29
"294","United Kingdom","Bermuda",22,2,0,2020-03-29
"295","United Kingdom","British Virgin Islands",2,0,0,2020-03-29
"296","United Kingdom","Cayman Islands",8,0,1,2020-03-29
"297","United Kingdom","Channel Islands",108,0,2,2020-03-29
"298","United Kingdom","Gibraltar",65,14,0,2020-03-29
"299","United Kingdom","Isle of Man",42,0,0,2020-03-29
"300","United Kingdom","Montserrat",5,0,0,2020-03-29
"301","United Kingdom","Turks and Caicos Islands",4,0,0,2020-03-29
"302","Germany","",62095,9211,533,2020-03-29
"303","Italy","",97689,13030,10779,2020-03-29
"304","Switzerland","",14829,1595,300,2020-03-29
"305","United Kingdom","",19522,135,1228,2020-03-29
"306","United Kingdom","Anguilla",2,0,0,2020-03-30
"307","United Kingdom","Bermuda",27,2,0,2020-03-30
"308","United Kingdom","British Virgin Islands",2,0,0,2020-03-30
"309","United Kingdom","Cayman Islands",12,0,1,2020-03-30
"310","United Kingdom","Channel Islands",141,0,2,2020-03-30
"311","United Kingdom","Gibraltar",69,34,0,2020-03-30
"312","United Kingdom","Isle of Man",49,0,0,2020-03-30
"313","United Kingdom","Montserrat",5,0,0,2020-03-30
"314","United Kingdom","Turks and Caicos Islands",5,0,0,2020-03-30
"315","Germany","",66885,13500,645,2020-03-30
"316","Italy","",101739,14620,11591,2020-03-30
"317","Switzerland","",15922,1823,359,2020-03-30
"318","United Kingdom","",22141,135,1408,2020-03-30
"319","United Kingdom","Anguilla",2,0,0,2020-03-31
"320","United Kingdom","Bermuda",32,10,0,2020-03-31
"321","United Kingdom","British Virgin Islands",3,0,0,2020-03-31
"322","United Kingdom","Cayman Islands",14,0,1,2020-03-31
"323","United Kingdom","Channel Islands",141,0,3,2020-03-31
"324","United Kingdom","Gibraltar",69,34,0,2020-03-31
"325","United Kingdom","Isle of Man",60,0,0,2020-03-31
"326","United Kingdom","Montserrat",5,0,0,2020-03-31
"327","United Kingdom","Turks and Caicos Islands",5,0,0,2020-03-31
"328","Germany","",71808,16100,775,2020-03-31
"329","Italy","",105792,15729,12428,2020-03-31
"330","Switzerland","",16605,1823,433,2020-03-31
"331","United Kingdom","",25150,135,1789,2020-03-31
"332","United Kingdom","Anguilla",2,0,0,2020-04-01
"333","United Kingdom","Bermuda",32,10,0,2020-04-01
"334","United Kingdom","British Virgin Islands",3,0,0,2020-04-01
"335","United Kingdom","Cayman Islands",22,0,1,2020-04-01
"336","United Kingdom","Channel Islands",172,0,3,2020-04-01
"337","United Kingdom","Gibraltar",81,34,0,2020-04-01
"338","United Kingdom","Isle of Man",68,0,1,2020-04-01
"339","United Kingdom","Montserrat",5,0,0,2020-04-01
"340","United Kingdom","Turks and Caicos Islands",6,0,0,2020-04-01
"341","Germany","",77872,18700,920,2020-04-01
"342","Italy","",110574,16847,13155,2020-04-01
"343","Switzerland","",17768,2967,488,2020-04-01
"344","United Kingdom","",29474,135,2352,2020-04-01
"345","United Kingdom","Anguilla",3,0,0,2020-04-02
"346","United Kingdom","Bermuda",35,11,0,2020-04-02
"347","United Kingdom","British Virgin Islands",3,0,0,2020-04-02
"348","United Kingdom","Cayman Islands",28,0,1,2020-04-02
"349","United Kingdom","Channel Islands",193,0,3,2020-04-02
"350","United Kingdom","Gibraltar",88,46,0,2020-04-02
"351","United Kingdom","Isle of Man",95,0,1,2020-04-02
"352","United Kingdom","Montserrat",5,0,0,2020-04-02
"353","United Kingdom","Turks and Caicos Islands",5,0,0,2020-04-02
"354","Germany","",84794,22440,1107,2020-04-02
"355","Italy","",115242,18278,13915,2020-04-02
"356","Switzerland","",18827,4013,536,2020-04-02
"357","United Kingdom","",33718,135,2921,2020-04-02
"358","United Kingdom","Anguilla",3,0,0,2020-04-03
"359","United Kingdom","Bermuda",35,14,0,2020-04-03
"360","United Kingdom","British Virgin Islands",3,0,0,2020-04-03
"361","United Kingdom","Cayman Islands",28,0,1,2020-04-03
"362","United Kingdom","Channel Islands",232,13,4,2020-04-03
"363","United Kingdom","Gibraltar",95,46,0,2020-04-03
"364","United Kingdom","Isle of Man",114,0,1,2020-04-03
"365","United Kingdom","Montserrat",6,0,0,2020-04-03
"366","United Kingdom","Turks and Caicos Islands",5,0,0,2020-04-03
"367","Germany","",91159,24575,1275,2020-04-03
"368","Italy","",119827,19758,14681,2020-04-03
"369","Switzerland","",19606,4846,591,2020-04-03
"370","United Kingdom","",38168,135,3605,2020-04-03
"371","United Kingdom","Anguilla",3,0,0,2020-04-04
"372","United Kingdom","Bermuda",35,14,0,2020-04-04
"373","United Kingdom","British Virgin Islands",3,0,0,2020-04-04
"374","United Kingdom","Cayman Islands",35,1,1,2020-04-04
"375","United Kingdom","Channel Islands",262,13,5,2020-04-04
"376","United Kingdom","Falkland Islands (Islas Malvinas)",1,0,0,2020-04-04
"377","United Kingdom","Gibraltar",98,52,0,2020-04-04
"378","United Kingdom","Isle of Man",126,0,1,2020-04-04
"379","United Kingdom","Montserrat",6,0,0,2020-04-04
"380","United Kingdom","Turks and Caicos Islands",5,0,0,2020-04-04
"381","Germany","",96092,26400,1444,2020-04-04
"382","Italy","",124632,20996,15362,2020-04-04
"383","Switzerland","",20505,6415,666,2020-04-04
"384","United Kingdom","",41903,135,4313,2020-04-04
"385","United Kingdom","Anguilla",3,0,0,2020-04-05
"386","United Kingdom","Bermuda",37,14,0,2020-04-05
"387","United Kingdom","British Virgin Islands",3,0,0,2020-04-05
"388","United Kingdom","Cayman Islands",35,1,1,2020-04-05
"389","United Kingdom","Channel Islands",309,27,6,2020-04-05
"390","United Kingdom","Falkland Islands (Islas Malvinas)",2,0,0,2020-04-05
"391","United Kingdom","Gibraltar",103,52,0,2020-04-05
"392","United Kingdom","Isle of Man",127,0,1,2020-04-05
"393","United Kingdom","Montserrat",6,0,0,2020-04-05
"394","United Kingdom","Turks and Caicos Islands",5,0,1,2020-04-05
"395","Germany","",100123,28700,1584,2020-04-05
"396","Italy","",128948,21815,15887,2020-04-05
"397","Switzerland","",21100,6415,715,2020-04-05
"398","United Kingdom","",47806,135,4934,2020-04-05
"399","United Kingdom","Anguilla",3,0,0,2020-04-06
"400","United Kingdom","Bermuda",39,17,2,2020-04-06
"401","United Kingdom","British Virgin Islands",3,0,0,2020-04-06
"402","United Kingdom","Cayman Islands",39,1,1,2020-04-06
"403","United Kingdom","Channel Islands",323,27,7,2020-04-06
"404","United Kingdom","Falkland Islands (Islas Malvinas)",2,0,0,2020-04-06
"405","United Kingdom","Gibraltar",109,52,0,2020-04-06
"406","United Kingdom","Isle of Man",139,55,1,2020-04-06
"407","United Kingdom","Montserrat",6,0,0,2020-04-06
"408","United Kingdom","Turks and Caicos Islands",8,0,1,2020-04-06
"409","Germany","",103374,28700,1810,2020-04-06
"410","Italy","",132547,22837,16523,2020-04-06
"411","Switzerland","",21657,8056,765,2020-04-06
"412","United Kingdom","",51608,135,5373,2020-04-06
"413","United Kingdom","Anguilla",3,0,0,2020-04-07
"414","United Kingdom","Bermuda",39,17,2,2020-04-07
"415","United Kingdom","British Virgin Islands",3,0,0,2020-04-07
"416","United Kingdom","Cayman Islands",45,6,1,2020-04-07
"417","United Kingdom","Channel Islands",335,34,7,2020-04-07
"418","United Kingdom","Falkland Islands (Malvinas)",2,0,0,2020-04-07
"419","United Kingdom","Gibraltar",113,60,0,2020-04-07
"420","United Kingdom","Isle of Man",150,73,1,2020-04-07
"421","United Kingdom","Montserrat",9,0,0,2020-04-07
"422","United Kingdom","Turks and Caicos Islands",8,0,1,2020-04-07
"423","Germany","",107663,36081,2016,2020-04-07
"424","Italy","",135586,24392,17127,2020-04-07
"425","Switzerland","",22253,8704,821,2020-04-07
"426","United Kingdom","",55242,135,6159,2020-04-07
"427","United Kingdom","Anguilla",3,0,0,2020-04-08
"428","United Kingdom","Bermuda",39,23,3,2020-04-08
"429","United Kingdom","British Virgin Islands",3,0,0,2020-04-08
"430","United Kingdom","Cayman Islands",45,6,1,2020-04-08
"431","United Kingdom","Channel Islands",351,38,8,2020-04-08
"432","United Kingdom","Falkland Islands (Malvinas)",5,1,0,2020-04-08
"433","United Kingdom","Gibraltar",120,60,0,2020-04-08
"434","United Kingdom","Isle of Man",158,82,1,2020-04-08
"435","United Kingdom","Montserrat",9,0,0,2020-04-08
"436","United Kingdom","Turks and Caicos Islands",8,0,1,2020-04-08
"437","Germany","",113296,46300,2349,2020-04-08
"438","Italy","",139422,26491,17669,2020-04-08
"439","Switzerland","",23280,9800,895,2020-04-08
"440","United Kingdom","",60733,135,7097,2020-04-08
"441","United Kingdom","Anguilla",3,0,0,2020-04-09
"442","United Kingdom","Bermuda",48,25,4,2020-04-09
"443","United Kingdom","British Virgin Islands",3,0,0,2020-04-09
"444","United Kingdom","Cayman Islands",45,6,1,2020-04-09
"445","United Kingdom","Channel Islands",361,40,8,2020-04-09
"446","United Kingdom","Falkland Islands (Malvinas)",5,1,0,2020-04-09
"447","United Kingdom","Gibraltar",123,60,0,2020-04-09
"448","United Kingdom","Isle of Man",190,92,1,2020-04-09
"449","United Kingdom","Montserrat",9,0,0,2020-04-09
"450","United Kingdom","Turks and Caicos Islands",8,0,1,2020-04-09
"451","Germany","",118181,52407,2607,2020-04-09
"452","Italy","",143626,28470,18279,2020-04-09
"453","Switzerland","",24051,10600,948,2020-04-09
"454","United Kingdom","",65077,135,7978,2020-04-09
"455","United Kingdom","Anguilla",3,0,0,2020-04-10
"456","United Kingdom","Bermuda",48,25,4,2020-04-10
"457","United Kingdom","British Virgin Islands",3,0,0,2020-04-10
"458","United Kingdom","Cayman Islands",45,6,1,2020-04-10
"459","United Kingdom","Channel Islands",398,40,9,2020-04-10
"460","United Kingdom","Falkland Islands (Malvinas)",5,1,0,2020-04-10
"461","United Kingdom","Gibraltar",127,69,0,2020-04-10
"462","United Kingdom","Isle of Man",201,103,1,2020-04-10
"463","United Kingdom","Montserrat",9,0,0,2020-04-10
"464","United Kingdom","Turks and Caicos Islands",8,0,1,2020-04-10
"465","Germany","",122171,53913,2767,2020-04-10
"466","Italy","",147577,30455,18849,2020-04-10
"467","Switzerland","",24551,11100,1002,2020-04-10
"468","United Kingdom","",73758,344,8958,2020-04-10
"469","United Kingdom","Anguilla",3,0,0,2020-04-11
"470","United Kingdom","Bermuda",48,25,4,2020-04-11
"471","United Kingdom","British Virgin Islands",3,2,0,2020-04-11
"472","United Kingdom","Cayman Islands",45,6,1,2020-04-11
"473","United Kingdom","Channel Islands",407,48,9,2020-04-11
"474","United Kingdom","Falkland Islands (Malvinas)",5,1,0,2020-04-11
"475","United Kingdom","Gibraltar",129,84,0,2020-04-11
"476","United Kingdom","Isle of Man",226,112,2,2020-04-11
"477","United Kingdom","Montserrat",9,0,0,2020-04-11
"478","United Kingdom","Turks and Caicos Islands",8,0,1,2020-04-11
"479","Germany","",124908,57400,2736,2020-04-11
"480","Italy","",152271,32534,19468,2020-04-11
"481","Switzerland","",25107,12100,1036,2020-04-11
"482","United Kingdom","",78991,344,9875,2020-04-11
"483","United Kingdom","Anguilla",3,0,0,2020-04-12
"484","United Kingdom","Bermuda",57,29,4,2020-04-12
"485","United Kingdom","British Virgin Islands",3,2,0,2020-04-12
"486","United Kingdom","Cayman Islands",53,6,1,2020-04-12
"487","United Kingdom","Channel Islands",431,48,9,2020-04-12
"488","United Kingdom","Falkland Islands (Malvinas)",5,1,0,2020-04-12
"489","United Kingdom","Gibraltar",129,84,0,2020-04-12
"490","United Kingdom","Isle of Man",228,112,2,2020-04-12
"491","United Kingdom","Montserrat",9,0,0,2020-04-12
